satellite,2669,0.028975,0.097526,0.139223,0.151943,0.120848,0.077032,0.090459,0.075618,0.065018,0.075618,0.066431,0.077739,0.069965,0.066431,0.055830,0.085512,0.045936,0.077032,0.024735,0.048057,0.014134,0.011307,0.013428,0.006360,0.056537,0.014134,0.004947,0.005654,0.014134,0.009894,0.031095,0.016961,0.028975,0.013428,0.007067,0.009894,0.001413,0.010601,0.009187,0.012014,0.005654,0.005654,0.008481,0.004947,0.006360,0.007067,0.010601,0.007774
nasa,1245,0.016254,0.025442,0.047350,0.062898,0.036749,0.025442,0.031095,0.029682,0.026148,0.028975,0.030389,0.028269,0.017668,0.030389,0.021908,0.023322,0.031802,0.028975,0.026855,0.036749,0.022615,0.019788,0.014841,0.004947,0.021201,0.014134,0.004240,0.005654,0.000000,0.004947,0.028975,0.014841,0.017668,0.011307,0.004947,0.003534,0.001413,0.003534,0.012721,0.005654,0.010601,0.007774,0.005654,0.006360,0.008481,0.003534,0.008481,0.004240
orbit,827,0.011307,0.020495,0.033216,0.034629,0.026855,0.019788,0.038869,0.036749,0.035336,0.038163,0.038869,0.027562,0.026148,0.017668,0.014841,0.021201,0.016961,0.021908,0.009187,0.012721,0.012014,0.005654,0.009187,0.006360,0.012721,0.001413,0.001413,0.003534,0.004240,0.004947,0.002120,0.000000,0.005654,0.000000,0.002120,0.000707,0.000000,0.001413,0.000000,0.000707,0.000707,0.000000,0.000707,0.000000,0.000707,0.000707,0.002827,0.000707
space,706,0.007774,0.031802,0.036749,0.046643,0.038163,0.021201,0.019081,0.014841,0.008481,0.014841,0.012014,0.019788,0.007067,0.011307,0.017668,0.016254,0.009187,0.017668,0.006360,0.010601,0.003534,0.004947,0.000707,0.004240,0.024735,0.003534,0.002827,0.003534,0.002827,0.000707,0.012721,0.007774,0.004240,0.006360,0.007774,0.002120,0.000000,0.003534,0.004240,0.002120,0.001413,0.000000,0.003534,0.005654,0.003534,0.001413,0.004947,0.005654
system,691,0.009187,0.011307,0.024735,0.040283,0.036042,0.019081,0.021201,0.011307,0.009894,0.019081,0.029682,0.018375,0.014134,0.020495,0.018375,0.031802,0.014134,0.032509,0.009894,0.023322,0.002120,0.004947,0.001413,0.001413,0.016961,0.004240,0.002120,0.001413,0.000000,0.002827,0.007067,0.005654,0.004947,0.001413,0.000000,0.000707,0.000000,0.002120,0.000707,0.000707,0.002120,0.003534,0.000707,0.001413,0.000000,0.001413,0.000707,0.000707
release,582,0.000000,0.000000,0.022615,0.031802,0.031802,0.016254,0.015548,0.015548,0.014134,0.018375,0.010601,0.010601,0.008481,0.018375,0.014841,0.028269,0.020495,0.013428,0.017668,0.022615,0.003534,0.008481,0.004240,0.003534,0.003534,0.007067,0.002120,0.002120,0.000000,0.001413,0.012721,0.004240,0.007067,0.002120,0.002827,0.000000,0.000707,0.000000,0.003534,0.001413,0.002120,0.002827,0.000707,0.002120,0.001413,0.000707,0.000707,0.001413
r,491,0.000707,0.012721,0.017668,0.028269,0.016254,0.017668,0.032509,0.029682,0.034629,0.033922,0.029682,0.033922,0.030389,0.019788,0.006360,0.000000,0.001413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000707,0.000000,0.000707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000707,0.000000,0.000707,0.000000,0.000000,0.000000,0.000000
first,465,0.009187,0.015548,0.024735,0.024735,0.031802,0.012014,0.012014,0.011307,0.007067,0.009894,0.005654,0.008481,0.009187,0.010601,0.010601,0.013428,0.008481,0.015548,0.007067,0.018375,0.003534,0.004947,0.003534,0.002827,0.005654,0.002120,0.002120,0.001413,0.001413,0.000707,0.001413,0.002827,0.002827,0.000707,0.000000,0.000000,0.000000,0.000000,0.000707,0.001413,0.001413,0.002827,0.002120,0.002120,0.000707,0.002827,0.007774,0.003534
earth,453,0.002120,0.009187,0.014134,0.023322,0.026855,0.010601,0.027562,0.012721,0.011307,0.008481,0.008481,0.016254,0.009894,0.019081,0.011307,0.010601,0.009187,0.015548,0.005654,0.007774,0.001413,0.002120,0.002120,0.000707,0.005654,0.004240,0.000707,0.000707,0.000707,0.000707,0.003534,0.003534,0.007067,0.004240,0.002120,0.000000,0.000000,0.001413,0.000000,0.000707,0.004947,0.002827,0.001413,0.001413,0.001413,0.002120,0.001413,0.003534
apogee,451,0.000707,0.012014,0.011307,0.019081,0.018375,0.004947,0.028269,0.028975,0.031095,0.032509,0.031095,0.024735,0.025442,0.007774,0.004947,0.007774,0.007774,0.004947,0.000000,0.003534,0.006360,0.002120,0.002120,0.002827,0.000707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
period,438,0.000000,0.009894,0.009894,0.017668,0.022615,0.004947,0.030389,0.028269,0.031095,0.030389,0.030389,0.025442,0.025442,0.009187,0.005654,0.005654,0.003534,0.003534,0.000000,0.001413,0.003534,0.000000,0.001413,0.000707,0.002120,0.000707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002120,0.000707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000707,0.000000,0.000000,0.000707,0.000000,0.000000,0.000707,0.000707,0.000000
perigee,418,0.000000,0.012014,0.008481,0.018375,0.017668,0.004947,0.028269,0.028269,0.031095,0.031802,0.030389,0.024735,0.025442,0.007774,0.004240,0.004947,0.004240,0.004240,0.000000,0.000707,0.004947,0.000707,0.001413,0.001413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
