"Calendar Year;""NASA budget"""
"Millions of Nominal Dollars;""% of Fed Budget[4][5]"";""Millions of 2007 Constant Dollars"""
"1958;""89"";""0.1%"";""488"""
"1959;""145"";""0.2%"";""1,841"""
"1960;""401"";""0.5%"";""3,205"""
"1961;""744"";""0.9%"";""6,360"""
"1962;""1,257"";""1.18%"";""12,221"""
"1963;""2,552"";""2.29%"";""24,342"""
"1964;""4,171"";""3.52%"";""33,241"""
"1965;""5,092"";""4.31%"";""33,514"""
"1966;""5,933"";""4.41%"";""32,106"""
"1967;""5,425"";""3.45%"";""29,696"""
"1968;""4,722"";""2.65%"";""26,139"""
"1969;""4,251"";""2.31%"";""21,376"""
"1970;""3,752"";""1.92%"";""18,768"""
"1971;""3,382"";""1.61%"";""15,717"""
"1972;""3,423"";""1.48%"";""15,082"""
"1973;""3,312"";""1.35%"";""14,303"""
"1974;""3,255"";""1.21%"";""11,494"""
"1975;""3,269"";""0.98%"";""11,131"""
"1976;""3,671"";""0.99%"";""11,640"""
"1977;""4,002"";""0.98%"";""11,658"""
"1978;""4,164"";""0.91%"";""11,411"""
"1979;""4,380"";""0.87%"";""11,404"""
"1980;""4,959"";""0.84%"";""11,668"""
"1981;""5,537"";""0.82%"";""11,248"""
"1982;""6,155"";""0.83%"";""11,766"""
"1983;""6,853"";""0.85%"";""13,051"""
"1984;""7,055"";""0.83%"";""13,561"""
"1985;""7,251"";""0.77%"";""13,218"""
"1986;""7,403"";""0.75%"";""13,421"""
"1987;""7,591"";""0.76%"";""13,735"""
"Calendar Year;""NASA budget"""
"Millions of Nominal Dollars;""% of Fed Budget[4][5]"";""Millions of 2007 Constant Dollars"""
"1988;""9,092"";""0.85%"";""14,454"""
"1989;""11,036"";""0.96%"";""16,734"""
"1990;""12,429"";""0.99%"";""18,019"""
"1991;""13,878"";""1.05%"";""19,686"""
"1992;""13,961"";""1.01%"";""15,310"""
"1993;""14,305"";""1.01%"";""18,582"""
"1994;""13,695"";""0.94%"";""18,053"""
"1995;""13,378"";""0.88%"";""16,915"""
"1996;""13,881"";""0.89%"";""16,457"""
"1997;""14,360"";""0.90%"";""15,943"""
"1998;""14,194"";""0.86%"";""15,521"""
"1999;""13,636"";""0.80%"";""15,357"""
"2000;""13,428"";""0.75%"";""14,926"""
"2001;""14,095"";""0.76%"";""15,427"""
"2002;""14,405"";""0.72%"";""15,831"""
"2003;""14,610"";""0.68%"";""16,021"""
"2004;""15,152"";""0.66%"";""15,559"""
"2005;""15,602"";""0.63%"";""16,016"""
"2006;""15,125"";""0.57%"";""16,085"""
"2007;""15,861"";""0.58%"";""15,861"""
"2008;""17,318"";""0.60%"";""17,138"""
"2009;""[6] 17,782"";""0.57%"";""17,186"""
"2010;""18,724"";""0.52%"";""17,804"""
"2011;""18,448"";""0.53%"";""17,005"""
"2012;""17,770"";""0.48%"";""16,014"""
"2013 (proj.);""[8] 17,893.4"";"""";"""""
"2014 (proj.);""[8] 17,715.4"";"""";"""""
"2015 (proj.);""[8] 17,715.4"";"""";"""""
