Order,Country[a],Satellite,Rocket,Location,Date (UTC)
1, Soviet Union[c],Sputnik 1,Sputnik-PS,"Baikonur, Soviet Union (today Kazakhstan)",10/04/57
2, United States[d],Explorer 1,Juno I,"Cape Canaveral, United States",02/01/58
3, France[f],Astérix,Diamant A,"Hammaguir, Algeria",11/26/65
4, Japan,?sumi,Lambda-4S,"Uchinoura, Japan",02/11/70
5, China,Dong Fang Hong I,Long March 1,"Jiuquan, China",04/24/70
6, United Kingdom[g],Prospero,Black Arrow,"Woomera, Australia",10/28/71
—,European Space Agency[h],CAT-1,Ariane 1,"Kourou, French Guiana",12/24/79
7, India,Rohini D1,SLV,"Sriharikota, India",07/18/80
8, Israel,Ofeq 1,Shavit,"Palmachim, Israel",09/19/88
—, Ukraine[c][i],"Strela-3 (x6, Russian)",Tsyklon-3,"Plesetsk, Russia",09/28/91
—, Russia[c],Kosmos 2175,Soyuz-U,"Plesetsk, Russia",01/21/92
9, Iran [j],Omid,Safir-1A,"Semnan, Iran",02/02/09
10, North Korea,Kwangmy?ngs?ng-3 Unit 2,Unha-3,"Sohae, North Korea",12 December 2012[k
