the ,112693,801,3357,6163,8017,11918,4007,4078,1443,2411,2015,1908,2341,7867,5367,7046,8277,5478,7013,1969,3278,1457,1312,1431,1811
of ,87357,824,2996,5805,6101,7354,4595,4149,3606,4703,4837,4303,5478,3869,2951,3581,4560,2978,3796,1031,1680,689,623,580,1143
and ,80247,562,2172,4128,4583,5669,4079,3893,3699,4941,4536,4320,5595,4258,3337,3740,3588,2820,3668,1028,1598,724,638,615,947
to ,58681,414,1681,3451,3735,4768,3056,2910,2596,3515,3214,2903,3553,2853,2044,2439,2819,1946,2672,701,1225,513,482,495,634
in ,49448,369,1544,3080,3380,4009,2615,2332,2183,2643,2725,2492,3072,2247,1650,1860,2631,1673,2137,661,1081,470,432,414,563
a ,35837,286,920,1982,2169,3947,1601,1571,525,868,775,669,723,2259,1653,2105,2547,1787,2246,686,1166,438,448,433,512
for ,31036,219,775,1699,2072,2324,1546,1396,1330,1667,1688,1451,1941,1381,1176,1503,1630,1249,1518,435,726,273,319,222,396
was ,21689,185,704,1206,1790,2033,1303,1146,970,1257,1295,1242,1493,1079,838,800,832,319,479,233,379,211,188,206,253
would ,20979,46,434,892,1043,1578,883,966,748,946,899,732,1071,902,651,934,1504,1256,1533,412,710,281,264,220,286
on ,20367,181,662,1171,1174,1564,1056,991,858,1279,1101,1077,1342,937,640,776,1061,755,892,298,469,201,198,202,222
space ,20224,172,681,1582,1393,1550,995,693,672,842,858,773,1279,927,793,955,839,644,862,197,272,143,134,162,627
had ,20133,45,270,426,643,1125,814,818,921,1041,1153,1117,1440,1230,808,1094,1108,1282,2141,387,515,173,210,195,178
nasa ,19271,153,481,1100,1548,1445,1002,862,936,983,1153,915,1186,829,665,672,528,803,975,328,453,229,234,202,257
by ,18430,182,614,1106,1200,1478,1134,941,861,1082,1238,1067,1421,913,696,730,961,533,631,187,279,121,115,89,162
that ,17715,127,579,1206,1277,1649,892,911,439,650,732,673,837,650,468,751,936,634,770,322,552,212,202,281,289
at ,16219,180,513,872,1061,1301,801,655,617,886,959,865,1004,749,525,669,949,638,709,236,363,190,175,183,188
from ,15651,123,530,885,929,1152,819,685,703,950,919,893,1049,820,551,625,765,541,690,220,309,155,156,172,153
be ,14685,81,538,1040,1139,1429,849,833,625,817,760,632,883,708,464,529,886,379,529,158,259,117,116,113,157
with ,14627,117,408,780,928,1139,770,680,697,929,808,723,878,701,567,624,680,479,631,188,344,153,132,116,211
• ,13146,1,569,1170,1253,1213,882,750,677,961,1094,856,941,686,267,368,349,416,376,61,180,21,20,25,7
as ,11446,86,439,754,816,931,532,468,464,583,512,516,543,438,348,501,812,472,558,170,257,128,118,97,115
were ,9577,45,253,477,709,896,552,518,424,584,572,518,643,526,408,432,448,185,222,103,163,73,70,98,137
it ,8824,51,245,655,688,878,461,447,349,582,357,371,406,366,129,180,308,377,399,139,278,106,100,121,119
flight ,8079,136,368,622,631,716,395,283,339,326,324,331,470,373,290,366,331,231,283,110,154,94,83,68,152
not ,7700,53,309,596,612,749,505,580,468,546,511,536,520,163,120,128,239,98,195,61,97,48,53,60,53
satellite ,7366,65,250,446,469,502,383,435,384,328,424,362,525,251,353,306,272,200,339,69,141,43,50,62,169
an ,7211,53,210,394,441,777,349,334,97,131,121,98,105,491,362,393,472,348,503,161,220,94,101,92,99
said ,7078,18,196,458,564,662,356,282,243,443,403,349,346,263,114,176,413,214,131,127,218,119,91,130,81
us ,6946,51,259,476,402,456,356,340,309,356,381,280,479,345,229,297,393,272,337,70,112,52,42,45,104
been ,6883,22,157,283,391,556,345,364,356,424,453,437,579,456,270,439,369,192,363,77,84,44,51,28,38
program ,6667,62,175,479,518,526,342,404,333,409,368,343,506,302,261,246,231,163,282,70,90,43,32,30,49
spacecraft ,6576,35,171,320,407,650,491,447,370,408,302,302,525,282,360,284,177,152,281,70,72,36,25,31,64
