marshall space flight center :368
goddard space flight center :348
committee on science and :282
house committee on science :256
astronautics and aeronautics 1965 :248
launched by nasa from :210
on science and astronautics :206
astronautics and aeronautics 1966 :197
administrator james e webb :191
astronautics and aeronautics 1972 :189
nasa administrator james e :180
for the first time :178
nasa rpt srl ∞ :177
astronautics and aeronautics 1970 :176
astronautics and aeronautics 19 :172
astronautics and aeronautics 1971 :165
astronautics and aeronautics 1968 :161
for manned space flight :157
aeronautical and space sciences :155
astronautics and aeronautics 1969 :153
white sands missile range :151
astronautics and aeronautics 1973 :150
on aeronautical and space :147
of the air force :143
nasa associate administrator for :142
of manned space flight :140
committee on aeronautical and :137
soviet academy of sciences :135
nasa manned spacecraft center :133
sounding rocket launched from :132
astronautics and aeronautics 1978 :129
nasa proj off ∞ :128
astronautics and aeronautics 1976 :128
plesetsk into orbit with :126
the new york times :125
senate committee on aeronautical :124
from plesetsk into orbit :123
national aeronautics and space :121
and aeronautics 19 6 :120
tracking and data acquisition :118
deputy associate administrator for :116
dr james c fletcher :114
astronautics and aeronautics 1967 :113
associate administrator for manned :112
national academy of sciences :111
james c fletcher nasa :111
administrator for manned space :111
the house committee on :110
nasa goddard space flight :110
nasa marshall space flight :109
space science and applications :108
of the space shuttle :108
at kennedy space center :105
and instruments functioned satisfactorily :105
sounding rocket launched by :103
sounding rocket was launched :102
c fletcher nasa administrator :102
rocket and instrumentation performed :101
robert c seamans jr :101
advanced research and technology :101
from nasa wallops station :100
rocket and instruments functioned :99
astronautics and aeronautics 1974 :99
would be used to :98
space flight center announced :98
and instrumentation performed satisfactorily :98
by the end of :97
astronautics and aeronautics 1975 :97
would be responsible for :94
was launched by nasa :94
rocket launched by nasa :94
dr robert c seamans :93
aerobee 150 sounding rocket :88
of science and technology :87
associate administrator for space :87
the end of the :86
secretary of the air :86
north american rockwell corp :85
new york times reported :85
national oceanic and atmospheric :84
the national aeronautics and :83
nasa announced it had :83
would be able to :80
dr wernher von braun :80
aviation week space technology :79
at johnson space center :78
scheduled for launch in :77
office of manned space :77
for the space shuttle :76
air force systems command :75
astronautics and aeronautics 1977 :74
astronautics and aeronautics 1 :74
uses of outer space :73
at marshall space flight :73
usaf launched unidentified satellite :72
peaceful uses of outer :72
office of space science :72
rocket was launched by :71
oceanic and atmospheric administration :71
james a lovell jr :71
in new york times :71
european space research organization :71
on science and astronauticsâ€™ :70
from churchill research range :70
dr george e mueller :70
at the end of :70
administrator for space science :70
would be used in :69
nasa lewis research center :69
from white sands missile :69
dr hugh l dryden :69
and aeronautics 1 9 :69
the senate committee on :68
edwin e aldrin jr :68
the surface of the :67
of the united states :67
of the solar system :67
man on the moon :67
would be used for :66
nasa deputy associate administrator :66
dr george m low :66
astronautical and aeronautical events :66
aeronautics 19 6 3 :66
north american aviation inc :65
to obtain data on :64
was expected to be :61
saturn v launch vehicle :61
of the univ of :61
of aeronautics and astronautics :61
was announced by nasa :60
univ of california at :60
the national academy of :60
by nasa test pilot :60
by nasa from wsmr :60
announced it had awarded :60
alan b shepard jr :60
on the moon and :59
in a series of :59
a man on the :59
of the space program :58
into orbit with a :58
was launched by ussr :57
energy research and development :57
of the lunar surface :56
nikeapache sounding rocket launched :56
nasa langley research center :56
nasa announced selection of :56
