objective continuation of outer space investigations :522
objective continuation of cosmos scientific satellite :470
continuation of cosmos scientific satellite series :435
continuation of outer space investigations description :406
not available total weight not available :359
of outer space investigations description unavailable :352
house committee on science and astronautics :253
objective develop spaceflight techniques and technology :251
objective investigation of upper atmosphere and :199
investigation of upper atmosphere and outer :195
of upper atmosphere and outer space :179
upper atmosphere and outer space description :160
scientific satellite series payload not available :160
atmosphere and outer space description unavailable :158
of cosmos scientific satellite series payload :151
cosmos scientific satellite series payload not :151
committee on aeronautical and space sciences :141
senate committee on aeronautical and space :130
the house committee on science and :119
associate administrator for manned space flight :118
astronautical and aeronautical events of 1962 :113
dr james c fletcher nasa administrator :107
sounding rocket launched by nasa from :96
nasa associate administrator for manned space :79
sounding rocket was launched by nasa :73
rocket was launched by nasa from :73
on science and astronautics subcommittee on :73
committee on science and astronautics subcommittee :71
a2 plesetsk total weight 6000 kg :71
objective develop space flight techniques and :68
space investigations description unavailable total weight :67
outer space investigations description unavailable total :67
develop space flight techniques and technology :66
associate administrator for space science and :54
of the national aeronautics and space :52
administrator for space science and applications :52
• nasa administrator james e webb :50
the national aeronautics and space administration :50
american institute of aeronautics and astronautics :50
the national oceanic and atmospheric administration :47
thoragena d total weight not available :46
of house committee on science and :46
the senate committee on aeronautical and :44
associate administrator for advanced research and :44
administrator for advanced research and technology :44
• marshall space flight center announced :43
office of advanced research and technology :43
the energy research and development administration :41
outer space investigations description unavailable cosmos :41
of the house committee on science :41
of outer space investigations description spheroid :41
nasa associate administrator for space science :41
the peaceful uses of outer space :40
secretary of defense robert s mcnamara :39
office of space science and applications :38
of the soviet academy of sciences :38
description unavailable total weight 6000 kg :38
vehicle launch site payload data apogee :37
on the peaceful uses of outer :37
nasa office of manned space flight :37
aeronautical and astronautical events of 1961 :37
the rocket and instrumentation performed satisfactorily :36
office of aeronautics and space technology :36
mueller nasa associate administrator for manned :35
committee on the peaceful uses of :35
the national aeronautics and space council :34
subcommittee on space science and applications :34
satellites space probes and manned space :34
rocket launched from nasa wallops station :34
rocket launched by nasa from wsmr :34
rocket from white sands missile range :34
launched by nasa from wallops station :34
george e mueller nasa associate administrator :34
e mueller nasa associate administrator for :34
dr george e mueller nasa associate :34
• house committee on science and :33
george m low nasa deputy administrator :33
sounding rocket launched from nasa wallops :32
sounding rocket from white sands missile :32
public registry the satellite situation report :32
dr george m low nasa deputy :32
aeronautics and space act of 1958 :32
aerobee 150 sounding rocket launched from :32
nasa aerobee 150 sounding rocket launched :31
inter national designation vehicle payload data :31
dr thomas o paine nasa administrator :31
at nasa marshall space flight center :31
administrator dr robert c seamans jr :31
the national advisory committee for aeronautics :30
name inter national designation vehicle payload :30
launched by nasa from wsmr carried :30
appendix a satellites space probes and :30
a satellites space probes and manned :30
space probes and manned space flights :29
secretary of transportation john a volpe :29
was launched by nasa from wsmr :28
launch date name inter national designation :28
date name inter national designation vehicle :28
by nasa goddard space flight center :28
association for the advancement of science :28
erts 1 earth resources technology satellite :27
atlasagena d total weight not available :27
vehicle piloted by nasa test pilot :26
usaf launched unidentified satellite from vandenberg :26
nasa associate administrator for advanced research :26
launched unidentified satellite from vandenberg afb :26
launched from nasa wallops station carried :26
launched by ussr into orbit with :26
from plesetsk into orbit with a :26
before the house committee on science :26
before house committee on science and :26
performed satisfactorily nasa rpt srl • :25
of the national academy of sciences :25
new york times editorial commented on :25
national aeronautics and space act of :25
nasa nikeapache sounding rocket launched from :25
nasa administrator james e webb said :25
hugh l dryden nasa deputy administrator :25
dr hugh l dryden nasa deputy :25
unidentified satellite from vandenberg afb by :24
tv programs to stations in orbita :24
space flight dr george e mueller :24
programs to stations in orbita network :24
nasa test pilot william h dana :24
million for research and program management :24
million for construction of facilities and :24
local time at the launch site :24
liftingbody vehicle piloted by nasa test :24
for manned space flight dr george :24
chairman of house committee on science :24
apollo 11 astronauts neil a armstrong :24
american association for the advancement of :24
aerobee 150 mi sounding rocket launched :24
administrator for manned space flight dr :24
1 earth resources technology satellite launched :24
white sands missile range n mex :23
to local time at the launch :23
the american institute of aeronautics and :23
spacecraft configuration possibly similar to cosmos :23
sounding rocket launched from wsmr carried :23
seamans jr secretary of the air :23
robert c seamans jr secretary of :23
referenced to local time at the :23
nikeapache sounding rocket launched by nasa :23
launched by nasa from churchill research :23
jr secretary of the air force :23
from white sands missile range carrying :23
dr robert c seamans jr secretary :23
c seamans jr secretary of the :23
by nasa from churchill research range :23
and instrumentation performed satisfactorily nasa rpt :23
was launched by ussr into orbit :22
united states and the soviet union :22
to obtain stability and control data :22
the national air and space museum :22
rocket and instrumentation performed satisfactorily nasa :22
of senate committee on aeronautical and :22
nasa office of advanced research and :22
nasa and soviet academy of sciences :22
manned space flight dr george e :22
launched by nasa from wsmr carrying :22
deputy administrator dr hugh l dryden :22
configuration possibly similar to cosmos 1648 :22
un committee on the peaceful uses :21
the united states and the soviet :21
still in orbit transmitting on command :21
spaceflight techniques and technology description unavailable :21
secretary of the air force dr :21
rocket and instruments functioned satisfactorily and :21
nasa test pilot john a manke :21
instrumentation performed satisfactorily nasa rpt srl :21
instrumentation performed satisfactorily gsfc proj off :21
dr edward c welsh executive secretary :21
deputy associate administrator for space science :21
astronautical and aeronautical events op 1962 :21
are from the un public registry :21
and instrumentation performed satisfactorily gsfc proj :21
• nasa goddard space flight center :20
• dr james c fletcher nasa :20
un public registry the satellite situation :20
to nasa administrator james e webb :20
the un public registry the satellite :20
the science and technology division of :20
technology division of the library of :20
science and technology division of the :20
of launch is referenced to local :20
obtain stability and control data at :20
national oceanic and atmospheric administration and :20
launch is referenced to local time :20
launch date name international designation vehicle :20
is referenced to local time at :20
from the un public registry the :20
deputy associate administrator for manned space :20
date of launch is referenced to :20
chairman of senate committee on aeronautical :20
associate administrator dr robert c seamans :20
and technology division of the library :20
administrator for aeronautics and space technology :20
150 sounding rocket launched from wsmr :20
• nikeapache sounding rocket launched by :19
• nasa aerobee 150 sounding rocket :19
the national aeronautics and space act :19
secretary of defense melvin r laird :19
rocket launched by nasa from wallops :19
rocket launched by nasa from churchill :19
reported in the new york times :19
rep george p miller dcalif chairman :19
nuclear engine for rocket vehicle application :19
nasa deputy administrator dr hugh l :19
launch site payload data apogee km :19
investigations description unavailable total weight 6000 :19
george p miller dcalif chairman of :19
division of the library of congress :19
designation vehicle payload data apogee st :19
associate administrator for aeronautics and space :19
• new york times editorial commented :18
weight unavailable objective undisclosed description unavailable :18
total weight unavailable objective undisclosed description :18
space and missile systems organization samso :18
skylab program director william c schneider :18
science and astronautics subcommittee on manned :18
s s s s s s :18
s s launched by nasa for :18
rocket and instrumentation performed satisfactorily gsfc :18
on peaceful uses of outer space :18
name international designation vehicle payload data :18
landing a man on the moon :18
land a man on the moon :18
in aviation week and space technology :18
homer e newell nasa associate administrator :18
for the benefit of all mankind :18
dr homer e newell nasa associate :18
designation vehicle launch site payload data :18
by nasa test pilot william h :18
by dr james c fletcher nasa :18
white house office of science and :17
usaf launched two unidentified satellites from :17
president of soviet academy of sciences :17
office of science and technology policy :17
neil a armstrong edwin e aldrin :17
mi sounding rocket launched by nasa :17
marshall space flight center announced the :17
launch site payload data apogee perigee :17
james c fletcher nasa administrator said :17
house office of science and technology :17
house committee on science and technology :17
edward c welsh executive secretary of :17
cl plesetsk total weight 700 kg :17
cl plesetsk total weight 40 kg :17
by nasa test pilot john a :17
by nasa administrator james e webb :17
astronautics subcommittee on manned space flight :17
and astronautics subcommittee on manned space :17
aerobee 170 sounding rocket from white :17
a armstrong edwin e aldrin jr :17
170 sounding rocket from white sands :17
150 mi sounding rocket launched by :17
• secretary of defense robert s :16
• nasa launched two sounding rockets :16
tracking and data relay satellite system :16
the office of science and technology :16
secretary of the national aeronautics and :16
rocket and instruments functioned satisfactorily nasa :16
objective undisclosed description unavailable total weight :16
international year of the quiet sun :16
international designation vehicle payload data apogee :16
from baykonur cosmodrome into orbit with :16
for sale by supt of documents :16
by leonard c bruno of the :16
armstrong edwin e aldrin jr and :16
appendix b chronology of major nasa :16
apollo 11 astronaut neil a armstrong :16
• usaf launched unidentified satellite from :15
• rep george p miller dcalif :15
• nasa marshall space flight center :15
was launched by nasa from wallops :15
usaf launched unidentified satellite from wtr :15
to land men on the moon :15
to house committee on science and :15
the office of management and budget :15
subcommittee on science research and development :15
spacecraft united states and dod spacecraft :15
science and astronautics subcommittee on space :15
rocket and instrumentation performance was satisfactory :15
p miller dcalif chairman of house :15
on the surface of the moon :15
objective development of spaceflight techniques and :15
north american air defense command norad :15
nasa office of space science and :15
nasa goddard space flight center announced :15
nasa from churchill research range carried :15
mission did not meet minimum scientific :15
independent offices and hud appropriations bill :15
executive secretary of the national aeronautics :15
edwin e aldrin jr and michael :15
edward g gibson and william r :15
e aldrin jr and michael collins :15
dod spacecraft united states and dod :15
director of defense research and engineering :15
did not meet minimum scientific requirements :15
description unavailable total weight unavailable objective :15
dept of housing and urban development :15
date name international designation vehicle payload :15
aviation week and space technology reported :15
at nasa goddard space flight center :15
• usaf launched two unidentified satellites :14
• nasa launched aerobee 170 sounding :14
• nasa announced it would negotiate :14
• aerobee 150 mi sounding rocket :14
whitney div of united aircraft corp :14
transfer orbit provide tracking and telemetry :14
tracking and telemetry and backup calculations :14
the air force systems command announced :14
stability and control data at mach :14
see american institute of aeronautics and :14
see air force cambridge research laboratories :14
provide tracking and telemetry and backup :14
probes and manned space flights a :14
president of the national academy of :14
pratt whitney div of united aircraft :14
performed satisfactorily gsfc proj off • :14
orbit provide tracking and telemetry and :14
office of tracking and data acquisition :14
of spaceflight techniques and technology description :14
of cos mos scientific satellite series :14
objective continuation of cos mos scientific :14
nasas hl—10 liftingbody vehicle piloted by :14
nasa rpt srl • nasa announced :14
nasa launched aerobee 170 sounding rocket :14
nasa administrator james e webb and :14
motor into proper transfer orbit provide :14
miller dcalif chairman of house committee :14
manned space flights a chronicle for :14
launched from churchill research range carried :14
launched aerobee 170 sounding rocket from :14
keldysh president of soviet academy of :14
george m low acting nasa administrator :14
