two years,156,0,2,9,13,19,12,9,4,7,6,4,10,11,8,1,0,0,0,2,10,1,2,2,2
000 lbs,152,0,5,10,16,54,19,10,0,7,10,7,9,3,1,1,0,0,0,0,0,0,0,0,0
three years,142,0,3,12,20,11,12,5,8,6,5,6,8,1,9,0,0,0,0,4,5,3,2,2,0
three times,107,2,7,3,6,8,5,5,7,6,3,9,11,5,6,1,1,1,5,3,3,1,1,1,1
000 miles,106,10,13,8,3,3,7,2,3,3,0,0,5,1,0,0,0,2,0,7,13,3,1,4,1
two weeks,86,0,1,5,7,10,3,5,4,3,3,1,3,7,3,0,0,0,0,4,8,2,2,3,2
two satellites,82,0,0,4,10,7,3,6,3,0,3,5,2,2,3,8,4,0,4,1,2,0,2,0,6
four years,74,0,4,5,11,0,4,4,2,2,3,4,4,9,3,0,0,0,0,4,2,2,0,0,2
10 times,74,0,7,1,5,4,1,4,5,1,3,2,5,3,3,7,11,4,1,1,4,0,0,1,0
10 years,71,0,3,6,4,5,0,2,0,1,1,2,4,3,0,1,0,0,0,4,5,0,8,6,1
000 feet,66,7,12,3,1,3,1,0,0,0,2,0,1,0,0,0,0,0,0,7,7,2,4,0,2
30 days,61,1,0,3,3,6,2,5,7,6,2,3,1,2,5,4,3,2,2,0,0,0,0,0,1
three months,53,0,2,3,3,7,2,3,1,5,4,3,3,2,5,0,0,0,0,1,3,0,0,2,1
100 times,51,1,3,1,2,1,3,3,1,2,3,1,4,2,4,5,1,2,6,1,2,0,0,0,0
20 years,49,1,1,2,4,5,2,1,1,0,2,1,0,0,0,0,0,0,1,4,5,1,1,2,3
three days,48,0,0,4,10,3,1,4,1,2,1,3,3,1,1,0,0,0,2,0,1,0,1,1,1
10 yrs,47,0,0,0,0,4,2,4,0,4,8,8,7,5,4,1,0,0,0,0,0,0,0,0,0
two days,45,0,3,2,6,1,2,1,1,0,2,1,5,4,2,0,1,0,0,1,3,1,2,1,1
two countries,45,0,1,3,3,4,2,1,0,2,1,0,1,1,1,6,1,3,4,0,0,0,0,0,1
000 pounds,45,3,3,1,2,2,4,2,0,0,0,1,0,0,0,0,0,0,0,1,9,2,12,2,1
11 astronauts,44,0,0,0,0,0,0,0,0,42,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
two hours,43,0,2,1,3,3,4,1,1,6,3,2,3,6,1,0,0,0,0,3,0,0,2,0,0
four times,43,0,0,3,5,4,1,1,1,1,5,3,4,2,2,1,1,0,1,0,2,1,2,0,0
000 persons,42,1,3,1,2,2,1,4,1,6,5,2,1,4,2,4,1,0,0,1,0,0,1,0,0
300 miles,39,1,2,0,1,0,0,2,0,1,3,0,0,0,0,0,0,0,0,3,2,1,1,2,6
two months,38,0,2,1,3,9,2,2,2,2,0,6,0,1,0,0,0,0,0,1,1,1,0,2,0
20 times,38,0,0,2,3,2,2,1,0,2,1,2,2,1,1,3,5,4,2,1,1,0,0,0,0
24 hours,36,2,3,4,4,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2,5,1,2,0,1
