sounding rocket,719,1,21,56,90,61,59,76,63,74,50,46,50,40,7,6,3,1,2,1,1,0,1,0,0
landing site,116,0,1,1,0,6,1,7,2,12,5,15,17,5,3,4,19,5,3,1,0,3,1,1,0
tracking station,106,0,0,5,16,20,12,7,2,7,4,5,5,2,3,3,4,0,6,0,3,0,1,0,1
landing mission,90,1,0,2,3,4,2,0,1,23,11,20,15,2,3,3,0,0,0,0,0,0,0,0,0
parking orbit,83,1,8,4,7,6,7,15,10,6,1,3,2,5,5,1,0,1,1,0,0,0,0,0,0
lifting body,83,0,0,3,3,7,16,5,0,0,1,4,18,12,5,5,1,0,0,0,0,2,0,0,1
landing system,75,0,0,4,7,10,4,5,3,3,3,3,9,1,0,1,3,9,10,0,0,0,0,0,0
roving vehicle,61,0,0,0,0,1,2,0,1,4,6,16,23,5,1,0,1,0,1,0,0,0,0,0,0
orbiting space,59,0,0,5,1,5,0,1,0,8,2,1,2,0,4,2,1,2,3,2,2,3,0,1,11
landing gear,51,0,3,2,4,5,3,2,2,1,2,1,2,3,0,4,1,1,3,0,0,2,0,0,2
landing program,36,2,2,7,7,2,2,5,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
tracking network,35,3,3,6,6,2,2,2,1,1,0,0,2,1,0,1,1,0,2,0,0,0,0,1,0
orbiting laboratory,35,0,0,0,7,8,1,0,0,0,1,3,3,4,1,2,0,1,2,0,0,0,1,0,0
working group,32,0,0,0,0,1,3,2,0,0,2,2,2,2,0,3,4,2,5,1,0,1,0,0,0
engineering support,29,0,1,1,2,2,0,1,5,1,1,0,1,3,1,1,1,1,5,0,2,0,0,0,0
existing knowledge,28,0,0,0,2,2,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0
tracking system,26,1,1,2,2,3,1,0,3,3,3,1,0,0,0,1,0,0,1,1,0,0,0,0,0
nearing completion,24,0,0,2,1,3,2,1,2,1,2,3,1,1,1,3,1,0,0,0,0,0,0,0,0
orbiting satellite,23,1,0,3,1,2,3,1,2,0,1,0,0,0,1,2,3,0,0,0,0,1,1,0,0
landing aircraft,23,0,0,0,0,2,1,1,1,0,0,1,12,1,2,1,0,1,0,0,0,0,0,0,0
carrying gsfc,21,0,0,0,0,0,0,0,3,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0
warning system,20,0,0,1,0,2,2,1,1,4,1,0,1,1,2,1,0,2,0,0,0,0,0,0,1
maneuvering unit,20,0,0,0,1,4,3,0,0,1,0,0,0,0,1,1,0,0,0,1,2,0,0,1,0
training program,19,1,0,2,0,1,1,3,3,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0
flying time,19,0,2,4,0,0,0,1,2,3,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
leading edge,18,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,0,0
landing area,18,0,1,0,1,3,2,0,2,2,0,2,1,0,0,0,3,0,0,0,0,1,0,0,0
using space,17,0,0,1,2,1,1,0,0,1,0,1,1,2,0,1,0,1,1,1,1,0,0,0,1
orbiting spacecraft,17,0,2,2,1,2,1,1,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,1,1
coming year,17,0,1,0,5,0,2,2,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0
monitoring system,16,0,0,0,1,0,0,0,0,0,1,1,1,0,3,0,3,4,1,0,1,0,0,0,0
aiming point,16,0,0,0,0,1,5,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
launching pad,15,0,2,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
bearing strength,15,0,0,0,3,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acting director,15,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,3,3,0,1,1,0,0,1
using satellite,14,0,1,0,0,0,1,0,1,2,1,0,0,0,0,2,4,0,2,0,0,0,0,0,0
orbiting earth,14,0,0,0,3,1,1,0,3,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0
landing point,14,0,0,0,0,4,0,2,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
engineering model,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,1,3,0,1,1,1,0,0
engineering development,14,0,0,0,0,0,1,0,0,1,1,0,1,1,1,2,1,0,3,0,0,0,0,0,0
tracking ship,13,0,0,2,1,0,0,2,1,1,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0
orbiting station,13,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,1,1,1,0,2,0,1,1,0
launching site,13,0,2,3,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
flying laboratory,13,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,1,6,0,0,0,0,0,0,0
existing contract,13,0,0,2,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
cooling system,13,1,0,0,0,2,0,0,1,0,2,2,0,1,1,0,0,1,0,0,0,0,2,0,0
receiving station,12,0,1,1,2,0,1,0,0,1,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0
processing facility,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,1,0,0,0
pointing system,12,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
orbiting moon,12,0,0,0,0,0,1,0,0,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0
landing capsule,12,0,1,0,1,4,0,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
