approx year, term, approx size, fill alpha percent, possible pos name, horiz align
1976.4,using,12.651678,0.5,vbg,left
1958.0,having,8.0,0.4669709,vbg,left
1958.4,tracking,8.0,0.4991797,vbg,left
1958.4,utilizing,8.0,0.4174497,vbg,left
1959.3,orbiting,8.0,0.49836016,vbg,left
1968.3,developing,13.049174,0.48615512,vbg,left
1960.1,decaying,8.0,0.27023184,vbg,left
1960.1,showing,8.0,0.43975234,vbg,left
1960.3,warning,8.0,0.4646026,vbg,left
1960.4,counting,8.0,0.21152735,vbg,left
1960.4,ushering,8.0,0.47711003,vbg,left
1961.1,accompanying,8.0,0.29717627,vbg,left
1961.2,joining,8.0,0.34453002,vbg,left
1961.2,pacing,8.0,0.13611938,vbg,left
1961.2,expanding,8.0,0.38091823,vbg,left
1971.5,funding,13.132245,0.48373392,vbg,left
1961.3,flashing,8.0,0.39995462,vbg,left
1961.3,meeting,8.0,0.49264392,vbg,left
1961.3,coordinating,8.0,0.34186757,vbg,left
1961.4,turning,8.0,0.3873023,vbg,left
1961.5,amounting,8.0,0.2789494,vbg,left
1961.5,constructing,8.0,0.330683,vbg,left
1961.5,relaying,8.0,0.40170228,vbg,left
1961.6,improving,8.0,0.37669525,vbg,left
1961.6,programing,8.0,0.33018982,vbg,left
1961.6,limiting,8.0,0.31715986,vbg,left
1962.1,calling,8.0,0.36418495,vbg,left
1962.2,describing,8.0,0.31462076,vbg,left
1962.2,sending,8.0,0.4575374,vbg,left
1962.2,computing,8.0,0.29963306,vbg,left
1962.2,talking,8.0,0.2959523,vbg,left
1962.2,testifying,8.0,0.22632445,vbg,left
1962.2,ruling,8.0,0.564175,vbg,left
1962.3,employing,8.0,0.41906127,vbg,left
1962.4,recommending,8.0,0.27912486,vbg,left
1962.4,establishing,8.0,0.43138388,vbg,left
1962.4,linking,8.0,0.30520388,vbg,left
1962.4,protecting,8.0,0.3076989,vbg,left
1962.5,cooperating,8.0,0.3887291,vbg,left
1962.5,signing,8.0,0.38659003,vbg,left
1962.7,identifying,8.0,0.3033403,vbg,left
1962.7,missing,8.0,0.32355905,vbg,left
2006.1,observing,13.4302025,0.4701388,vbg,left
1964.3,undertaking,8.0,0.36971566,vbg,left
1964.4,varying,8.0,0.34854588,vbg,left
1964.4,drifting,8.0,0.51313126,vbg,left
1964.8,driving,8.0,0.27442285,vbg,left
1965.2,facing,8.0,0.36075202,vbg,left
1965.3,placing,8.0,0.4178817,vbg,left
1965.3,relating,8.0,0.33636925,vbg,left
1965.4,commenting,8.0,0.23528586,vbg,left
1965.4,achieving,8.0,0.36349687,vbg,left
1965.4,competing,8.0,0.25552404,vbg,left
1965.5,looking,8.0,0.39952353,vbg,left
1965.6,reproducing,8.0,0.18525817,vbg,left
1965.7,lifting,8.0,0.37180185,vbg,left
1966.3,reflecting,8.0,0.40097532,vbg,left
1966.7,adding,8.0,0.3731962,vbg,left
1967.2,detecting,8.0,0.3966289,vbg,left
1967.4,plotting,8.0,0.34421283,vbg,left
1967.4,urging,8.0,0.2844709,vbg,left
1968.1,pressing,8.0,0.29351306,vbg,left
1968.2,returning,8.0,0.45519555,vbg,left
1968.2,crossing,8.0,0.3552977,vbg,left
1968.3,parking,8.0,0.41048336,vbg,left
1968.3,negotiating,8.0,0.35326448,vbg,left
1968.3,declining,8.0,0.28927281,vbg,left
1968.3,discovering,8.0,0.25563532,vbg,left
1968.4,moving,8.0,0.46539128,vbg,left
1968.4,emphasizing,8.0,0.28987634,vbg,left
1968.4,commemorating,8.0,0.2817034,vbg,left
1968.4,representing,8.0,0.4382242,vbg,left
1968.5,bearing,8.0,0.3133556,vbg,left
1968.5,recognizing,8.0,0.23624435,vbg,left
1968.6,handling,8.0,0.43898785,vbg,left
1994.1,changing,13.706804,0.38801536,vbg,left
1969.4,pushing,8.0,0.29412177,vbg,left
1969.4,happening,8.0,0.18383187,vbg,left
1969.4,bringing,8.0,0.40315846,vbg,left
1969.6,learning,8.0,0.35665688,vbg,left
1969.7,examining,8.0,0.41986847,vbg,left
2007.4,working,13.756365,0.4893936,vbg,left
1970.1,recording,8.0,0.4890535,vbg,left
1971.3,proceeding,8.0,0.3773972,vbg,left
1971.3,barking,8.0,0.25999957,vbg,left
1971.3,collecting,8.0,0.42086157,vbg,left
1971.3,helping,8.0,0.316524,vbg,left
1971.3,floating,8.0,0.37599397,vbg,left
1971.4,thinking,8.0,0.31083417,vbg,left
1971.4,opening,8.0,0.4458944,vbg,left
1971.4,housing,8.0,0.3559769,vbg,left
1971.5,underlying,8.0,0.27208948,vbg,left
1971.5,announcing,8.0,0.27267173,vbg,left
1971.6,considering,8.0,0.43593743,vbg,left
1971.6,applying,8.0,0.39292055,vbg,left
1972.0,designing,8.0,0.3711057,vbg,left
1972.3,becoming,8.0,0.41121987,vbg,left
1972.4,decreasing,8.0,0.31000322,vbg,left
1972.4,switching,8.0,0.40626708,vbg,left
1973.2,originating,8.0,0.2657333,vbg,left
1973.3,reading,8.0,0.3699894,vbg,left
1973.3,falling,8.0,0.37459365,vbg,left
1973.3,teaching,8.0,0.24995504,vbg,left
1973.4,cooling,8.0,0.38445762,vbg,left
1973.4,advancing,8.0,0.37451214,vbg,left
1973.4,obtaining,8.0,0.3816246,vbg,left
1973.5,filing,8.0,0.39431027,vbg,left
1973.5,conditioning,8.0,0.17925383,vbg,left
1973.5,circling,8.0,0.37041032,vbg,left
1973.6,breeding,8.0,0.41906977,vbg,left
1975.3,predicting,8.0,0.38233176,vbg,left
1976.0,meaning,8.0,0.30644992,vbg,left
1976.1,involving,8.0,0.41639614,vbg,left
1976.2,spending,8.0,0.44512406,vbg,left
1976.2,belonging,8.0,0.3580838,vbg,left
1976.2,greeting,8.0,0.21706735,vbg,left
1976.2,defining,8.0,0.36103907,vbg,left
1976.2,attending,8.0,0.3127242,vbg,left
1976.3,shipping,8.0,0.41937014,vbg,left
1976.3,participating,8.0,0.4544164,vbg,left
1976.4,depending,8.0,0.38021258,vbg,left
1976.4,ending,8.0,0.3894436,vbg,left
1976.4,citing,8.0,0.32808217,vbg,left
1976.4,implementing,8.0,0.27500805,vbg,left
1976.5,maintaining,8.0,0.35258818,vbg,left
1976.5,flooding,8.0,0.23849934,vbg,left
1997.3,traveling,14.03912,0.42385325,vbg,left
1976.5,digging,8.0,0.21962631,vbg,left
1976.5,nesting,8.0,1.0,vbg,left
1976.6,resembling,8.0,0.33591986,vbg,left
1976.6,costing,8.0,0.33133504,vbg,left
1976.6,lasting,8.0,0.30458194,vbg,left
1976.6,sharing,8.0,0.30957782,vbg,left
1976.7,holding,8.0,0.39374593,vbg,left
1976.8,lying,8.0,0.22495946,vbg,left
1977.3,dismantling,8.0,0.18105824,vbg,left
1977.3,hearing,8.0,0.33395052,vbg,left
1977.3,comparing,8.0,0.32938108,vbg,left
1977.4,distinguishing,8.0,0.25684142,vbg,left
1977.4,permitting,8.0,0.43214095,vbg,left
1962.7,saying,14.154696,0.46067008,vbg,left
1977.5,cleaning,8.0,0.23422052,vbg,left
1978.2,passing,8.0,0.41713855,vbg,left
1978.3,accounting,8.0,0.37880346,vbg,left
1978.3,taking,8.0,0.4466654,vbg,left
1978.3,generating,8.0,0.36694443,vbg,left
1978.3,demonstrating,8.0,0.39302707,vbg,left
1978.3,emitting,8.0,0.33264127,vbg,left
1978.4,saving,8.0,0.3587012,vbg,left
1978.4,programming,8.0,0.46990976,vbg,left
1978.5,descending,8.0,0.25890064,vbg,left
1978.5,locating,8.0,0.35191262,vbg,left
1978.6,charging,8.0,0.42554307,vbg,left
1978.6,knowing,8.0,0.30396077,vbg,left
1978.7,requiring,8.0,0.39230892,vbg,left
1978.9,buying,8.0,0.28746656,vbg,left
1979.3,checking,8.0,0.37950766,vbg,left
1979.3,undergoing,8.0,0.35938406,vbg,left
1979.3,cutting,8.0,0.30024913,vbg,left
1980.3,acquiring,8.0,0.37249872,vbg,left
1980.3,studying,8.0,0.47411537,vbg,left
1980.3,leasing,8.0,0.4068117,vbg,left
1980.4,firing,8.0,0.47571108,vbg,left
1980.6,noting,8.0,0.3346062,vbg,left
1980.6,wing,8.0,0.44820973,vbg,left
1980.6,monitoring,8.0,0.48696363,vbg,left
1980.6,seeking,8.0,0.4306275,vbg,left
1980.6,suggesting,8.0,0.36832854,vbg,left
1981.1,blowing,8.0,0.21241781,vbg,left
1981.4,projecting,8.0,0.19322076,vbg,left
1981.5,contributing,8.0,0.32099053,vbg,left
1982.2,substituting,8.0,0.15540811,vbg,left
1982.3,managing,8.0,0.46819058,vbg,left
1983.3,conducting,8.0,0.44281748,vbg,left
1983.4,wearing,8.0,0.2965639,vbg,left
1984.0,succeeding,8.0,0.2992826,vbg,left
1984.1,forming,8.0,0.40827814,vbg,left
1984.1,following,8.0,0.4853473,vbg,left
1984.2,marketing,8.0,0.30582651,vbg,left
1984.2,acting,8.0,0.4528604,vbg,left
1984.2,supplying,8.0,0.29534137,vbg,left
1984.2,assisting,8.0,0.30394512,vbg,left
1984.2,running,8.0,0.39446557,vbg,left
1984.3,leading,8.0,0.4622409,vbg,left
1984.3,trying,8.0,0.40607956,vbg,left
1984.3,boosting,8.0,0.28626612,vbg,left
1984.3,bonding,8.0,0.21379653,vbg,left
1984.3,watching,8.0,0.31146345,vbg,left
1984.4,preceding,8.0,0.41417328,vbg,left
1984.4,sensing,8.0,0.47811022,vbg,left
1984.4,pricing,8.0,0.36848885,vbg,left
1984.4,routing,8.0,0.33779222,vbg,left
1984.4,viewing,8.0,0.36280954,vbg,left
1984.5,manufacturing,8.0,0.42160836,vbg,left
1984.5,covering,8.0,0.449757,vbg,left
1984.5,coating,8.0,0.2880679,vbg,left
1984.5,emerging,8.0,0.23742525,vbg,left
1984.5,seeing,8.0,0.3676361,vbg,left
1984.5,consisting,8.0,0.39590704,vbg,left
1984.6,maneuvering,8.0,0.40974757,vbg,left
1984.6,experiencing,8.0,0.35123777,vbg,left
1984.6,controlling,8.0,0.34120378,vbg,left
1985.2,shielding,8.0,0.33657774,vbg,left
1985.2,starting,8.0,0.4053482,vbg,left
1985.2,standing,8.0,0.33789578,vbg,left
1985.3,braking,8.0,0.32035026,vbg,left
1985.3,interacting,8.0,0.29008722,vbg,left
1985.3,freezing,8.0,0.23903751,vbg,left
1985.3,stretching,8.0,0.37224677,vbg,left
1985.3,spring,8.0,0.4474372,vbg,left
1985.4,slowing,8.0,0.3372364,vbg,left
1985.4,solving,8.0,0.31843385,vbg,left
1985.4,spinning,8.0,0.4261047,vbg,left
1985.5,making,8.0,0.4789114,vbg,left
1985.5,pursuing,8.0,0.27853456,vbg,left
1985.5,resulting,8.0,0.45053175,vbg,left
1985.6,existing,8.0,0.47971332,vbg,left
1985.6,refueling,8.0,0.2797159,vbg,left
1985.6,continuing,8.0,0.4709327,vbg,left
1985.6,according,8.0,0.49020505,vbg,left
1985.7,determining,8.0,0.41195711,vbg,left
1985.7,swing,8.0,0.15713963,vbg,left
1985.7,measuring,8.0,0.47651008,vbg,left
1985.7,preventing,8.0,0.32484764,vbg,left
1985.7,doing,8.0,0.44051751,vbg,left
1985.9,rising,8.0,0.358019,vbg,left
1986.2,searching,8.0,0.34586573,vbg,left
1986.3,consuming,8.0,0.3545311,vbg,left
1986.6,closing,8.0,0.34054074,vbg,left
1987.4,exploding,8.0,0.34386334,vbg,left
1988.5,rotating,8.0,0.38303968,vbg,left
1988.7,allowing,8.0,0.41565445,vbg,left
1989.4,overbilling,8.0,0.3373857,vbg,left
1990.2,repairing,8.0,0.267458,vbg,left
1990.3,scheduling,8.0,0.3614371,vbg,left
1990.6,creating,8.0,0.42685667,vbg,left
1991.1,financing,8.0,0.37529346,vbg,left
1991.3,nearing,8.0,0.324203,vbg,left
1991.5,fishing,8.0,0.37906665,vbg,left
1993.3,preparing,8.0,0.4351767,vbg,left
1993.3,reviewing,8.0,0.31779647,vbg,left
1993.4,discussing,8.0,0.36487368,vbg,left
1993.4,reporting,8.0,0.3781,vbg,left
1994.2,burning,8.0,0.33987835,vbg,left
1999.7,carrying,15.867195,0.49427345,vbg,left
1994.2,analyzing,8.0,0.32678616,vbg,left
1994.3,raising,8.0,0.35733756,vbg,left
1994.3,dropping,8.0,0.3222733,vbg,left
1994.3,affecting,8.0,0.36006773,vbg,left
1994.3,gathering,8.0,0.40388763,vbg,left
1994.4,directing,8.0,0.33198777,vbg,left
1994.4,concerning,8.0,0.39518595,vbg,left
1994.5,steering,8.0,0.35394147,vbg,left
1994.5,approaching,8.0,0.3392168,vbg,left
1994.6,concentrating,8.0,0.28866997,vbg,left
1994.6,confirming,8.0,0.3300317,vbg,left
1994.6,leaking,8.0,0.27559397,vbg,left
1994.8,ping,8.0,0.33816302,vbg,left
1995.3,threatening,8.0,0.25050864,vbg,left
1995.5,breaking,8.0,0.28686598,vbg,left
1997.0,forcing,8.0,0.26344398,vbg,left
1997.3,deploying,8.0,0.32163158,vbg,left
