approx year, term, approx size, fill alpha percent, possible pos name, horiz align
1958.2,continuing,5.0,0.3864591,vbg,left
1958.3,permitting,5.0,0.4077472,vbg,left
1958.3,orbiting,5.0,0.65038866,vbg,left
1958.5,providing,5.0,0.5857874,vbg,left
1959.5,launching,5.0,0.8934777,vbg,left
1959.6,utilizing,5.0,0.17165339,vbg,left
1960.0,leading,5.0,0.86866033,vbg,left
1960.2,meeting,5.0,0.83427954,vbg,left
1960.5,transmitting,5.0,0.037444055,vbg,left
1960.5,handling,5.0,0.29857147,vbg,left
2008.4,operating,12.162217,0.45917392,vbg,left
1961.5,sounding,5.0,0.032717347,vbg,left
1961.6,constructing,5.0,0.8664478,vbg,left
1961.6,engineering,5.0,0.67804074,vbg,left
1961.6,planning,5.0,0.1853432,vbg,left
1961.8,flashing,5.0,0.013472497,vbg,left
1962.5,speaking,5.0,0.27678198,vbg,left
1962.6,drifting,5.0,0.55673945,vbg,left
1962.7,saying,5.0,0.8553772,vbg,left
1968.4,funding,5.0,0.065253675,vbg,left
1968.6,representing,5.0,0.4320435,vbg,left
1969.5,photographing,5.0,0.83354163,vbg,left
1969.6,increasing,5.0,0.6969242,vbg,left
1969.8,reaching,5.0,0.9721797,vbg,left
1971.9,doing,5.0,0.082156956,vbg,left
1972.6,reading,5.0,0.49190682,vbg,left
1972.6,establishing,5.0,0.8009782,vbg,left
1972.7,collecting,5.0,0.07517922,vbg,left
1973.1,returning,5.0,0.4260934,vbg,left
1973.6,heating,5.0,0.13087541,vbg,left
1973.6,spending,5.0,0.72822803,vbg,left
1976.4,flooding,5.0,0.5775255,vbg,left
1976.4,having,5.0,0.8540044,vbg,left
1976.4,involving,5.0,0.282902,vbg,left
1976.5,moving,5.0,0.95673335,vbg,left
1976.5,resembling,5.0,0.7037282,vbg,left
1976.6,finding,5.0,0.95028406,vbg,left
1976.6,weighing,5.0,0.46004575,vbg,left
1976.7,containing,5.0,0.38454866,vbg,left
1978.2,consisting,5.0,0.34018844,vbg,left
1984.0,manufacturing,5.0,0.5119209,vbg,left
1984.2,serving,5.0,0.36692417,vbg,left
1984.3,succeeding,5.0,0.61464566,vbg,left
1984.3,conducting,5.0,0.19382358,vbg,left
1984.4,following,5.0,0.63134885,vbg,left
1984.4,boosting,5.0,0.04450226,vbg,left
1984.4,trying,5.0,0.88106227,vbg,left
1984.5,timing,5.0,0.9464003,vbg,left
1984.5,determining,5.0,0.4821018,vbg,left
1984.5,running,5.0,0.08795112,vbg,left
1984.6,preceding,5.0,0.52393013,vbg,left
1984.7,starting,5.0,0.30461562,vbg,left
1984.7,spring,5.0,0.6110983,vbg,left
1985.2,putting,5.0,0.10039806,vbg,left
1985.5,building,5.0,0.5993902,vbg,left
1985.5,rotating,5.0,0.40629923,vbg,left
1985.5,landing,5.0,0.0072666407,vbg,left
1985.6,existing,5.0,0.93222517,vbg,left
1985.6,taking,5.0,0.117598355,vbg,left
1985.6,developing,5.0,0.64163166,vbg,left
1985.7,living,5.0,0.58932686,vbg,left
1985.7,maneuvering,5.0,0.40718973,vbg,left
1985.7,measuring,5.0,0.49435788,vbg,left
1986.1,carrying,5.0,0.6306737,vbg,left
1988.7,spinning,5.0,0.5352721,vbg,left
1990.6,concerning,5.0,0.7997429,vbg,left
1993.0,ranging,5.0,0.8319821,vbg,left
1993.7,aging,5.0,0.9237548,vbg,left
1993.8,flying,5.0,0.8534869,vbg,left
1994.5,positioning,5.0,0.44323343,vbg,left
1994.6,covering,5.0,0.23479748,vbg,left
1994.7,attempting,5.0,0.9212624,vbg,left
1995.0,observing,5.0,0.5460931,vbg,left
1995.3,beginning,5.0,0.408243,vbg,left
1995.3,causing,5.0,0.27299672,vbg,left
1995.5,tumbling,5.0,0.6026854,vbg,left
1995.6,surrounding,5.0,0.2525239,vbg,left
