approx year, term, approx size, fill alpha percent, possible pos name, horiz align
1968.8,engineering,53.632786,0.39762038,vbg,left
1968.9,phasing,51.615067,0.43017495,vbg,left
1972.2,costing,49.562824,0.05755025,vbg,left
1969.4,walking,46.33113,0.0054428577,vbg,left
1971.5,working,46.03946,0.40097618,vbg,left
1965.7,meeting,44.83577,0.46864188,vbg,left
1964.2,orbiting,44.345585,0.312671,vbg,left
1973.2,wing,44.262314,0.1957593,vbg,left
1967.4,tracking,44.16759,0.8409068,vbg,left
1965.0,utilizing,43.75263,0.6595529,vbg,left
1972.4,broadcasting,42.72515,0.7868373,vbg,left
1970.7,monitoring,41.4912,0.3268602,vbg,left
1970.6,reflecting,41.45621,0.76528734,vbg,left
1966.3,tumbling,37.322166,0.8565955,vbg,left
1974.1,training,36.436283,0.83785963,vbg,left
1975.3,saying,35.99322,0.4929695,vbg,left
1963.2,questioning,35.93633,0.74066037,vbg,left
1967.1,evening,35.61952,0.7266948,vbg,left
1967.7,starting,33.89687,0.18823916,vbg,left
1965.5,functioning,33.099865,0.091080666,vbg,left
1969.0,cheering,33.035423,0.38953358,vbg,left
1973.5,demonstrating,33.030823,0.138452,vbg,left
1964.3,bearing,32.943497,0.20194793,vbg,left
1962.7,speaking,31.547682,0.7564993,vbg,left
1968.3,showing,30.377811,0.6814883,vbg,left
1972.4,evolving,28.858929,0.7055981,vbg,left
1975.3,scanning,28.291594,0.9938624,vbg,left
1974.1,heating,28.170612,0.7702155,vbg,left
1972.2,financing,28.003328,0.6323979,vbg,left
1975.0,pointing,27.795332,0.90050036,vbg,left
1965.1,enhancing,26.356789,0.39578605,vbg,left
1970.2,preserving,26.13831,0.9328932,vbg,left
1970.7,escaping,25.375174,0.23189956,vbg,left
1969.9,asking,25.366411,0.7407429,vbg,left
1962.8,addressing,25.23859,0.99360245,vbg,left
1971.4,invading,23.973255,0.2290712,vbg,left
1966.1,injecting,22.72973,0.47725463,vbg,left
1966.2,referring,22.546185,0.007291496,vbg,left
1967.0,emitting,22.533,0.62542737,vbg,left
1963.3,gaining,22.189024,0.7387749,vbg,left
1973.4,surpassing,22.139,0.72101676,vbg,left
1976.3,building,22.120981,0.41444415,vbg,left
1964.0,requesting,21.970274,0.9258319,vbg,left
1967.1,cruising,21.68026,0.31817704,vbg,left
1968.8,welcoming,21.587597,0.19328707,vbg,left
1964.7,overriding,21.435076,0.3005163,vbg,left
1962.3,slipping,21.277405,0.642864,vbg,left
1964.1,dealing,20.926685,0.2363075,vbg,left
1967.9,communicating,20.910027,0.52041703,vbg,left
1967.9,subjecting,20.788288,0.61785173,vbg,left
1976.1,living,20.741615,0.7568338,vbg,left
1973.1,leaking,20.069517,0.026570082,vbg,left
1962.9,negotiating,19.842772,0.11800957,vbg,left
1971.5,layering,19.549503,0.04971093,vbg,left
1965.6,aiming,19.150827,0.88051397,vbg,left
1968.8,switching,19.144753,0.99771684,vbg,left
2008.3,carrying,18.559504,0.7127404,vbg,left
1961.9,including,18.082088,0.8783738,vbg,left
1969.7,closing,17.962078,0.013004422,vbg,left
1975.9,voting,17.894299,0.045387745,vbg,left
1976.4,adding,17.605461,0.46616513,vbg,left
1976.8,remaining,17.340366,0.17015034,vbg,left
1972.5,thinking,17.175924,0.33917052,vbg,left
1974.3,delaying,17.095846,0.1307571,vbg,left
1974.4,originating,16.97301,0.83701164,vbg,left
1975.0,estimating,16.906633,0.947281,vbg,left
1975.3,resembling,16.88568,0.4535783,vbg,left
1979.6,ring,16.800007,0.7978673,vbg,left
1980.0,beginning,16.747847,0.50740325,vbg,left
1971.9,protecting,16.683722,0.34536487,vbg,left
1978.0,manufacturing,16.673754,0.4038462,vbg,left
1978.3,leading,16.645683,0.7289684,vbg,left
1971.7,declining,16.628817,0.45577747,vbg,left
1973.6,concluding,16.534763,0.87415195,vbg,left
1964.9,urging,16.354294,0.37342554,vbg,left
2007.7,offering,16.214191,0.07283288,vbg,left
1962.1,testifying,16.171492,0.5500541,vbg,left
1968.9,inspecting,16.150753,0.13984495,vbg,left
2005.9,completing,16.147053,0.6622083,vbg,left
1970.3,examining,15.815624,0.16634136,vbg,left
1962.9,filling,15.747633,0.83274764,vbg,left
1978.8,succeeding,15.61165,0.39688545,vbg,left
1977.9,sitting,15.530636,0.8816209,vbg,left
1971.0,generating,15.354137,0.55987006,vbg,left
1977.5,developing,15.343688,0.3553058,vbg,left
1970.2,mentioning,15.184714,0.8431922,vbg,left
1965.1,acquiring,14.8624935,0.046473205,vbg,left
1971.0,pursuing,14.84042,0.48295116,vbg,left
1994.0,commemorating,14.82309,0.106036305,vbg,left
1973.1,deploying,14.741785,0.10211104,vbg,left
1997.8,warming,14.553867,0.05240172,vbg,left
2008.2,roving,14.382968,0.17409104,vbg,left
1965.4,relating,14.3673725,0.9258223,vbg,left
1962.3,buying,14.328993,0.72806466,vbg,left
1976.8,emerging,14.296519,0.62664986,vbg,left
1969.7,rejoicing,14.254305,0.6211527,vbg,left
1984.9,collecting,14.2272415,0.8484433,vbg,left
1998.4,mapping,14.215128,0.92400515,vbg,left
1961.5,using,14.129723,0.33115852,vbg,left
2007.9,exchanging,13.940898,0.73228335,vbg,left
1982.2,measuring,13.925629,0.5308826,vbg,left
1966.6,wiring,13.899624,0.31329143,vbg,left
1966.3,populating,13.871177,0.8243376,vbg,left
1965.9,governing,13.828669,0.4539528,vbg,left
1967.1,proving,13.714995,0.89895153,vbg,left
1968.1,sleeping,13.669521,0.39041716,vbg,left
2005.2,spending,13.667476,0.96816444,vbg,left
1964.1,emphasizing,13.621316,0.17701739,vbg,left
1967.0,forging,13.598656,0.25274223,vbg,left
1963.3,commenting,13.577364,0.9581542,vbg,left
1961.7,shielding,13.531603,0.1746279,vbg,left
1963.6,arguing,13.519577,0.2395119,vbg,left
1976.4,sending,13.511971,0.81493264,vbg,left
1979.8,entering,13.471417,0.2045098,vbg,left
1972.7,radiating,13.451576,0.42425025,vbg,left
1977.2,handling,13.379007,0.027450383,vbg,left
1978.3,teaching,13.348594,0.338683,vbg,left
1979.7,meaning,13.256298,0.2931686,vbg,left
2004.1,creating,13.244104,0.31702125,vbg,left
2004.7,requiring,13.086089,0.6546213,vbg,left
1979.2,crossing,13.04636,0.31572056,vbg,left
1979.3,missing,12.928244,0.39017123,vbg,left
1985.3,ranging,12.918025,0.54354876,vbg,left
1984.7,rotating,12.827557,0.9080619,vbg,left
1967.6,affecting,12.7493725,0.9790529,vbg,left
1967.9,forbidding,12.734851,0.7359244,vbg,left
1964.1,embodying,12.687171,0.28188902,vbg,left
1962.9,rising,12.655178,0.6119736,vbg,left
2005.9,explaining,12.571915,0.948917,vbg,left
2006.7,helping,12.55528,0.99612904,vbg,left
1997.2,becoming,12.520221,0.90445375,vbg,left
1984.8,lasting,12.516214,0.4283113,vbg,left
2007.1,marking,12.471569,0.09149516,vbg,left
1976.8,selling,12.408914,0.91500145,vbg,left
1999.0,erupting,12.385152,0.31641257,vbg,left
2007.7,winning,12.382877,0.7009591,vbg,left
2005.8,comprising,12.382215,0.9569746,vbg,left
1967.4,sailing,12.331469,0.020474553,vbg,left
1964.6,replying,12.299785,0.63408506,vbg,left
1978.8,reading,12.2848015,0.003114581,vbg,left
1990.9,trying,12.241728,0.70260346,vbg,left
1989.3,emanating,12.117627,0.39216727,vbg,left
1977.4,floating,12.087124,0.02179259,vbg,left
1982.9,leaving,12.072322,0.8979796,vbg,left
1976.3,summarizing,12.0215,0.59426355,vbg,left
1961.2,being,12.01984,0.6009766,vbg,left
1977.6,putting,11.997616,0.9991252,vbg,left
1981.6,receiving,11.995419,0.8359843,vbg,left
1991.3,funding,11.914089,0.20768338,vbg,left
1978.8,seeing,11.864167,0.41448104,vbg,left
1969.4,introducing,11.81605,0.4562484,vbg,left
1973.1,intersecting,11.7394495,0.34517264,vbg,left
1973.8,searching,11.650667,0.9913116,vbg,left
1996.6,gathering,11.608695,0.9992673,vbg,left
1976.1,drinking,11.604873,0.5064803,vbg,left
1993.8,contributing,11.599861,0.074026704,vbg,left
1985.2,determining,11.590313,0.4349349,vbg,left
1968.7,conquering,11.577495,0.15291518,vbg,left
1971.5,believing,11.5771475,0.2031269,vbg,left
1984.9,refueling,11.555361,0.6331759,vbg,left
1988.7,launching,11.532071,0.81509894,vbg,left
1999.5,conducting,11.497533,0.78638697,vbg,left
1965.6,decelerating,11.422974,0.981031,vbg,left
1997.8,occurring,11.404439,0.36734337,vbg,left
1997.8,watching,11.37988,0.33394456,vbg,left
1998.4,decreasing,11.332179,0.5093421,vbg,left
1972.0,comforting,11.3081665,0.026318371,vbg,left
1963.0,diverting,11.222036,0.4684621,vbg,left
1993.4,providing,11.208253,0.67706776,vbg,left
1998.4,retiring,11.164705,0.21580875,vbg,left
1990.5,testing,11.041059,0.373892,vbg,left
1975.6,arriving,11.018871,0.11083084,vbg,left
1972.3,profiling,10.9980955,0.5031176,vbg,left
1961.6,undertaking,10.979708,0.11089742,vbg,left
1996.1,allowing,10.894238,0.771518,vbg,left
1982.0,scheduling,10.864846,0.91053486,vbg,left
2005.3,competing,10.838956,0.5590167,vbg,left
1962.4,exceeding,10.79461,0.4738636,vbg,left
1989.9,concerning,10.775656,0.08704543,vbg,left
1982.0,giving,10.766262,0.67242044,vbg,left
1980.3,checking,10.749708,0.4602676,vbg,left
2006.5,ensuring,10.711949,0.011719406,vbg,left
1975.8,assuring,10.661117,0.5507461,vbg,left
2007.3,supplying,10.650929,0.990064,vbg,left
2005.2,extracting,10.6266775,0.59962463,vbg,left
1982.4,warning,10.622696,0.626974,vbg,left
2006.4,totaling,10.606728,0.9686863,vbg,left
2003.5,indicating,10.572242,0.36753857,vbg,left
1980.6,exploring,10.546676,0.15439707,vbg,left
1969.0,scooping,10.516499,0.86327046,vbg,left
1962.6,racing,10.454578,0.0776816,vbg,left
1991.7,surrounding,10.445886,0.40648407,vbg,left
1975.2,shaking,10.4326935,0.5900087,vbg,left
1974.3,coating,10.413678,0.20739567,vbg,left
2004.2,replacing,10.396011,0.36448795,vbg,left
2004.2,specializing,10.389672,0.45914078,vbg,left
1975.2,commanding,10.343025,0.8602799,vbg,left
1980.3,computing,10.331994,0.91715145,vbg,left
1974.6,dissolving,10.30995,0.7881693,vbg,left
1982.6,joining,10.291467,0.36989295,vbg,left
1974.7,spinning,10.284049,0.05046594,vbg,left
1974.0,refurbishing,10.27495,0.9353071,vbg,left
1977.9,claiming,10.274332,0.2033205,vbg,left
