approx year, term, approx size, fill alpha percent, possible pos name, horiz align
1986.4,buzzing,5.0,0.68275815,vbg,left
1987.0,substituting,5.0,0.82387114,vbg,left
1987.4,shutting,5.0,0.4704116,vbg,left
1987.6,fluctuating,5.0,0.26499146,vbg,left
1987.7,greeting,5.0,0.33302152,vbg,left
1987.7,halting,5.0,0.7519039,vbg,left
1987.9,withdrawing,5.0,0.2400366,vbg,left
1987.9,barring,5.0,0.39655483,vbg,left
1987.9,exposing,5.0,0.86422104,vbg,left
1988.0,ferrying,5.0,0.39495486,vbg,left
1992.8,ranging,14.94458,0.8481897,vbg,left
1988.2,injuring,5.0,0.6009639,vbg,left
1988.2,culminating,5.0,0.44889283,vbg,left
1988.2,tooling,5.0,0.30374336,vbg,left
1988.2,deteriorating,5.0,0.4276687,vbg,left
1988.4,lowering,5.0,0.9014144,vbg,left
1988.5,throwing,5.0,0.49607885,vbg,left
1989.7,updating,5.0,0.885207,vbg,left
1990.2,exercising,5.0,0.76221603,vbg,left
1990.3,overhauling,5.0,0.25648648,vbg,left
1990.3,wasting,5.0,0.88255787,vbg,left
1993.1,measuring,14.945364,0.22507346,vbg,left
1990.5,blasting,5.0,0.08113384,vbg,left
1990.6,freeing,5.0,0.9376025,vbg,left
1990.6,spreading,5.0,0.34341544,vbg,left
1990.8,rerouting,5.0,0.6947885,vbg,left
1990.8,encountering,5.0,0.36107004,vbg,left
1990.9,spewing,5.0,0.8959121,vbg,left
1991.1,regulating,5.0,0.91843057,vbg,left
1991.1,rethinking,5.0,0.16483289,vbg,left
1991.2,budgeting,5.0,0.52428323,vbg,left
1991.2,peering,5.0,0.90748715,vbg,left
1970.3,sustaining,15.169962,0.1901387,vbg,left
1991.4,quickening,5.0,0.78874975,vbg,left
1991.5,expelling,5.0,0.79063535,vbg,left
1991.5,overlapping,5.0,0.94313973,vbg,left
1991.5,recharging,5.0,0.4012637,vbg,left
1991.9,rehearsing,5.0,0.3985154,vbg,left
1992.1,qualifying,5.0,0.96851116,vbg,left
1992.1,disrupting,5.0,0.5559483,vbg,left
1992.2,fingerprinting,5.0,0.9008427,vbg,left
1992.4,grouping,5.0,0.57376605,vbg,left
1992.4,disappearing,5.0,0.9102728,vbg,left
1971.0,sampling,15.236549,0.89899737,vbg,left
1992.6,misrepresenting,5.0,0.719263,vbg,left
1993.1,lodging,5.0,0.29499584,vbg,left
1993.3,lingering,5.0,0.09943658,vbg,left
1993.4,displaying,5.0,0.7974491,vbg,left
1993.5,downsizing,5.0,0.1989767,vbg,left
1993.6,pressuring,5.0,0.3301546,vbg,left
1993.7,exerting,5.0,0.40809876,vbg,left
1993.8,staffing,5.0,0.47591048,vbg,left
1993.9,majoring,5.0,0.7619411,vbg,left
1994.0,deflating,5.0,0.34239054,vbg,left
2006.0,collecting,15.287709,0.08725703,vbg,left
1994.1,dumping,5.0,0.4008174,vbg,left
1994.2,laundering,5.0,0.50557256,vbg,left
1994.3,devising,5.0,0.7555456,vbg,left
1994.4,circumventing,5.0,0.2013377,vbg,left
1994.5,streaming,5.0,0.17072529,vbg,left
1994.5,gobbling,5.0,0.15309232,vbg,left
1994.5,entrusting,5.0,0.057123423,vbg,left
1994.6,boiling,5.0,0.891906,vbg,left
1994.8,answering,5.0,0.7899413,vbg,left
1995.1,advertising,5.0,0.0068866014,vbg,left
2005.9,placing,15.3067665,0.5948632,vbg,left
1995.5,vacationing,5.0,0.83019996,vbg,left
1995.7,connecting,5.0,0.66892815,vbg,left
1995.7,surveying,5.0,0.043495,vbg,left
1995.8,tightening,5.0,0.5765163,vbg,left
1996.0,sitting,5.0,0.53273535,vbg,left
1996.0,burgeoning,5.0,0.22760904,vbg,left
1996.1,dwindling,5.0,0.13749033,vbg,left
1996.2,relying,5.0,0.9873216,vbg,left
1996.4,struggling,5.0,0.8223652,vbg,left
1996.4,drafting,5.0,0.51844805,vbg,left
1977.4,scanning,15.316327,0.8979502,vbg,left
1996.7,clarifying,5.0,0.055284858,vbg,left
1997.0,string,5.0,0.8978958,vbg,left
1997.2,spiraling,5.0,0.7945776,vbg,left
1997.4,shedding,5.0,0.31342804,vbg,left
1997.5,reminding,5.0,0.349909,vbg,left
1997.5,resolving,5.0,0.23914343,vbg,left
1997.5,settling,5.0,0.52619094,vbg,left
1997.7,shining,5.0,0.19980174,vbg,left
1997.8,reshaping,5.0,0.30995864,vbg,left
1997.8,swirling,5.0,0.782893,vbg,left
1967.9,lasting,15.488644,0.66773146,vbg,left
1997.8,manipulating,5.0,0.8173694,vbg,left
1998.0,behaving,5.0,0.9519836,vbg,left
1998.0,privatizing,5.0,0.55785775,vbg,left
1998.1,scrambling,5.0,0.47196722,vbg,left
1998.2,fulfilling,5.0,0.7978191,vbg,left
1998.3,hampering,5.0,0.8122036,vbg,left
1998.4,compromising,5.0,0.697472,vbg,left
1998.4,cancelling,5.0,0.5335428,vbg,left
1998.6,grabbing,5.0,0.007842183,vbg,left
1998.7,publicizing,5.0,0.48771518,vbg,left
1967.9,checking,15.525195,0.47677475,vbg,left
1998.8,flinging,5.0,0.14026791,vbg,left
1998.9,convening,5.0,0.2866361,vbg,left
1999.0,disseminating,5.0,0.15048015,vbg,left
1999.1,insisting,5.0,0.34630638,vbg,left
1999.2,proclaiming,5.0,0.954991,vbg,left
1999.3,guaranteeing,5.0,0.42779797,vbg,left
1999.4,alleging,5.0,0.23482203,vbg,left
1999.5,inventing,5.0,0.3839361,vbg,left
1999.7,pressing,5.0,0.7433208,vbg,left
1999.7,spotting,5.0,0.2683668,vbg,left
2003.3,holding,15.673092,0.3250742,vbg,left
1973.9,housing,32.52756,0.45130152,vbg,left
1999.8,flaring,5.0,0.21957523,vbg,left
2000.1,corrupting,5.0,0.2990347,vbg,left
2000.4,cataloging,5.0,0.67402005,vbg,left
2000.7,crawling,5.0,0.41285646,vbg,left
2000.9,farming,5.0,0.81849825,vbg,left
2000.9,safeguarding,5.0,0.033887744,vbg,left
2001.0,profiling,5.0,0.6700329,vbg,left
2001.0,stabilizing,5.0,0.19918823,vbg,left
2001.1,weakening,5.0,0.048018575,vbg,left
2001.1,whipping,5.0,0.7762322,vbg,left
1992.4,servicing,15.673784,0.10148704,vbg,left
2001.2,capping,5.0,0.016765177,vbg,left
2001.3,pulling,5.0,0.12037152,vbg,left
2001.5,prescribing,5.0,0.5697477,vbg,left
2001.8,plucking,5.0,0.048038602,vbg,left
2002.1,peeling,5.0,0.4135881,vbg,left
2002.2,sourcing,5.0,0.9973582,vbg,left
2002.3,revolving,5.0,0.9859228,vbg,left
2002.3,owning,5.0,0.63966525,vbg,left
2002.4,contradicting,5.0,0.04875523,vbg,left
2002.5,facilitating,5.0,0.6551664,vbg,left
1993.4,considering,15.814227,0.016958117,vbg,left
2002.6,objecting,5.0,0.55171067,vbg,left
2002.8,enlarging,5.0,0.67274404,vbg,left
2002.8,interviewing,5.0,0.89036167,vbg,left
2002.9,memorizing,5.0,0.24746788,vbg,left
2003.1,salvaging,5.0,0.264966,vbg,left
2003.2,fearing,5.0,0.95144504,vbg,left
2003.2,liberating,5.0,0.69262993,vbg,left
2003.3,renovating,5.0,0.17898548,vbg,left
2003.4,aborting,5.0,0.8432018,vbg,left
2003.5,languishing,5.0,0.7057166,vbg,left
1961.4,reporting,15.968184,0.03401637,vbg,left
2003.7,networking,5.0,0.7374974,vbg,left
2003.7,defying,5.0,0.0950951,vbg,left
2003.8,labeling,5.0,0.6854509,vbg,left
2004.1,intruding,5.0,0.7313407,vbg,left
2004.4,intervening,5.0,0.11765629,vbg,left
2004.6,reexamining,5.0,0.36179763,vbg,left
2004.7,slackening,5.0,0.3694095,vbg,left
2004.7,incurring,5.0,0.10251135,vbg,left
2005.0,cheating,5.0,0.7361497,vbg,left
2005.0,skyrocketing,5.0,0.9435369,vbg,left
1992.3,looking,15.994243,0.23959148,vbg,left
2005.0,implanting,5.0,0.019052088,vbg,left
2005.3,emptying,5.0,0.45888788,vbg,left
2005.3,shuttling,5.0,0.518899,vbg,left
2005.4,hosting,5.0,0.5528881,vbg,left
2005.6,counteracting,5.0,0.78742516,vbg,left
2005.6,heightening,5.0,0.8781937,vbg,left
2005.6,shortening,5.0,0.41268885,vbg,left
2005.9,pertaining,5.0,0.096782506,vbg,left
2006.0,hatching,5.0,0.74634117,vbg,left
2006.0,sailing,5.0,0.6477135,vbg,left
1967.2,attending,16.0166,0.3487308,vbg,left
2006.2,reversing,5.0,0.2260617,vbg,left
2006.2,framing,5.0,0.15944868,vbg,left
2006.3,wrapping,5.0,0.18413329,vbg,left
2006.5,retarding,5.0,0.2003426,vbg,left
2006.5,forgetting,5.0,0.6045098,vbg,left
2006.6,punching,5.0,0.2470144,vbg,left
2006.8,reorganizing,5.0,0.32819045,vbg,left
2006.8,foregoing,5.0,0.43976045,vbg,left
2006.9,inspecting,5.0,0.1915183,vbg,left
2007.1,fluttering,5.0,0.3348965,vbg,left
1971.2,reflecting,16.039904,0.8006038,vbg,left
2007.1,reordering,5.0,0.6163668,vbg,left
2007.1,climbing,5.0,0.82442,vbg,left
2007.1,concealing,5.0,0.49040085,vbg,left
2007.3,documenting,5.0,0.85281545,vbg,left
2007.4,recalling,5.0,0.3319745,vbg,left
2007.4,flushing,5.0,0.2483272,vbg,left
2007.4,rejoining,5.0,0.4199568,vbg,left
2007.4,acknowledging,5.0,0.8280463,vbg,left
2008.6,flitting,5.0,0.79458064,vbg,left
2008.8,filming,5.0,0.2333498,vbg,left
1967.1,pioneering,16.116266,0.1687668,vbg,left
1982.3,loosening,5.000113,0.48420393,vbg,left
1989.8,stalling,5.000122,0.29775453,vbg,left
1988.6,approving,5.0001335,0.7001587,vbg,left
1986.8,travelling,5.0001717,0.8420324,vbg,left
2000.6,finishing,5.0001993,0.80166525,vbg,left
1996.5,celebrating,5.000227,0.8598829,vbg,left
1974.3,banking,5.000301,0.4525959,vbg,left
1967.3,forging,5.000419,0.36688972,vbg,left
2001.3,eclipsing,5.000738,0.91685414,vbg,left
1959.4,scooping,5.000808,0.3616106,vbg,left
1962.2,undertaking,16.132984,0.045197487,vbg,left
1982.7,commercializing,5.0008245,0.4460327,vbg,left
1960.6,flooding,5.0008287,0.36756867,vbg,left
2000.3,remarking,5.0008383,0.8769912,vbg,left
1973.2,equaling,5.000894,0.22869575,vbg,left
1991.8,planting,5.0008974,0.31301147,vbg,left
2001.4,amassing,5.0014095,0.10272634,vbg,left
1982.6,binding,5.0015073,0.37007236,vbg,left
2000.7,opposing,5.0015883,0.6032776,vbg,left
2001.4,staying,5.0016623,0.16578615,vbg,left
1982.8,thawing,5.0018554,0.3525794,vbg,left
1981.2,acting,16.137712,0.5347123,vbg,left
1973.7,outfitting,5.0019474,0.48437297,vbg,left
1974.4,purporting,5.002064,0.20659071,vbg,left
2000.7,interpreting,5.0020695,0.82701844,vbg,left
1967.3,plotting,5.002091,0.6541684,vbg,left
2000.4,hoping,5.0020976,0.2642842,vbg,left
2000.1,sentencing,5.002399,0.4900723,vbg,left
1973.5,enjoying,5.00254,0.22337854,vbg,left
2000.6,suspending,5.0026183,0.28605026,vbg,left
1990.0,powering,5.0026217,0.55337745,vbg,left
2000.2,disintegrating,5.00269,0.7313486,vbg,left
1985.4,timing,16.360706,0.044251442,vbg,left
1973.7,training,32.599873,0.7400462,vbg,left
1973.2,restricting,5.0027266,0.3683716,vbg,left
1966.7,grumbling,5.0027404,0.5340063,vbg,left
2000.4,presenting,5.00276,0.1605193,vbg,left
1974.4,eradicating,5.0028133,0.22695851,vbg,left
1973.8,shopping,5.0029383,0.4891824,vbg,left
1999.8,validating,5.003051,0.45292795,vbg,left
1989.8,reinstating,5.0031276,0.46199435,vbg,left
2002.1,precipitating,5.0031843,0.23920912,vbg,left
1960.2,accelerating,5.0031943,0.6757833,vbg,left
2008.7,adjusting,5.0032787,0.2694282,vbg,left
1977.6,aging,16.4179,0.0888772,vbg,left
1973.5,reproducing,5.003289,0.099125445,vbg,left
1973.8,marring,5.0035114,0.732992,vbg,left
1983.4,teaming,5.003548,0.09088969,vbg,left
1975.0,renegotiating,5.0037847,0.45800525,vbg,left
1973.5,surviving,5.003952,0.01209408,vbg,left
1974.1,impeding,5.0040407,0.20671207,vbg,left
1999.8,bouncing,5.0041456,0.286968,vbg,left
2000.0,plunging,5.0044107,0.21483988,vbg,left
1973.3,pitching,5.005076,0.2523374,vbg,left
1973.6,aggravating,5.005198,0.55755156,vbg,left
1981.6,managing,16.484764,0.09951913,vbg,left
1966.1,inaugurating,5.0053096,0.45299268,vbg,left
1959.5,recommending,5.0053277,0.2405479,vbg,left
1973.9,parting,5.005409,0.07886112,vbg,left
1975.2,ensuing,5.005457,0.6999382,vbg,left
1991.8,reacting,5.0055017,0.42802864,vbg,left
2008.7,contrasting,5.0056767,0.8156013,vbg,left
1975.0,waving,5.005862,0.5418378,vbg,left
2007.7,expressing,5.006173,0.22527272,vbg,left
2007.6,resigning,5.006673,0.018481076,vbg,left
1983.4,prohibiting,5.0069785,0.9687538,vbg,left
1981.0,coating,16.507496,0.59421,vbg,left
2000.1,speculating,5.0070047,0.29195392,vbg,left
1989.7,registering,5.007556,0.56423914,vbg,left
1974.2,rectifying,5.007676,0.8487278,vbg,left
2001.7,administering,5.0078115,0.35306638,vbg,left
1999.9,invading,5.0079937,0.49676728,vbg,left
1989.4,stimulating,5.0082536,0.43287265,vbg,left
1989.5,stamping,5.0082674,0.26631343,vbg,left
1989.5,appointing,5.008319,0.22504705,vbg,left
1988.6,repairing,5.00858,0.102633655,vbg,left
1966.4,confronting,5.0086093,0.5895848,vbg,left
1966.6,parking,16.541544,0.61130786,vbg,left
1988.7,linking,5.008851,0.8610899,vbg,left
1961.8,sinking,5.009119,0.5529255,vbg,left
2001.6,enduring,5.009162,0.7681103,vbg,left
1974.1,reshuffling,5.009168,0.791658,vbg,left
1963.7,allocating,5.0095124,0.49539328,vbg,left
1989.2,practicing,5.009956,0.8536412,vbg,left
2008.5,riding,5.0099893,0.6715487,vbg,left
2001.9,detailing,5.0100427,0.75785977,vbg,left
2004.4,soaring,5.0104856,0.741917,vbg,left
1974.1,jumping,5.0106215,0.5770235,vbg,left
1981.7,preceding,16.628696,0.7352088,vbg,left
1989.2,tailoring,5.0107193,0.97115976,vbg,left
1978.6,pedaling,5.0109954,0.85367733,vbg,left
1960.2,subjecting,5.011075,0.34221613,vbg,left
1989.4,soliciting,5.0111775,0.17854315,vbg,left
2006.9,hovering,5.0112276,0.16704673,vbg,left
1959.7,closing,5.0112505,0.20752716,vbg,left
1972.8,necessitating,5.0113797,0.9730094,vbg,left
1986.7,isolating,5.011604,0.027983785,vbg,left
2008.5,puncturing,5.0117874,0.28042865,vbg,left
2004.4,extracting,5.0119057,0.4396398,vbg,left
1966.5,forcing,16.637857,0.8731862,vbg,left
1960.3,ruling,5.012089,0.35680526,vbg,left
1981.1,baking,5.0123363,0.73965925,vbg,left
1997.2,striving,5.012581,0.6953925,vbg,left
2004.3,collaborating,5.0126767,0.28556818,vbg,left
2001.6,enriching,5.0129623,0.66568947,vbg,left
1990.0,accomplishing,5.013057,0.63004506,vbg,left
2008.7,deploying,5.0135403,0.42798877,vbg,left
1960.5,overheating,5.013725,0.78187114,vbg,left
1987.4,reopening,5.013821,0.6361801,vbg,left
1990.0,publishing,5.013872,0.92660445,vbg,left
