approx year, term, approx size, fill alpha percent, possible pos name, horiz align
1958.5,3 years,5.0,0.52961975,,right
1958.7,Prime Minister Harold Macmillan,5.0,0.46293008,,center
1958.7,North Central Pacific Ocean,5.0,0.3173724,,center
1958.8,chemical elements,5.0,0.5316298,,center
1958.9,fiscal year,6.240519,1.0,,center
1958.9,500 miles,5.0,0.49046326,,center
1959.1,scientific unions,5.0,0.5728202,,right
1959.2,nuclear explosions,5.0,0.7284003,,left
1959.2,the House,6.358784,0.76955104,,left
1959.3,150 miles,5.0,0.44093147,,left
1959.4,moving parts,5.0,0.68444425,,left
1959.4,40 years,5.0,0.46133932,,left
1959.5,solar energy,5.0,0.3245558,,right
1959.6,17000 miles,5.0041466,0.8581255,,left
1959.6,Newton N Minow,6.327532,1.0,,left
1959.7,solar radiation,5.0,0.3282597,,left
1959.8,Dwight D Eisenhower,5.112584,0.49298677,,center
1959.9,navigational aids,5.0,1.0,,left
1960.0,Harold B Finger,5.0,0.47644615,,left
1960.1,orbiting satellites,6.8990254,0.7391571,,left
1960.3,active communications,5.730922,1.0,,right
1960.3,400 miles,6.160971,0.48445463,,left
1960.4,Douglas Thor,5.0,0.46963608,,left
1960.7,preliminary data,8.773378,0.49214935,,left
1960.7,northern latitudes,7.119943,0.5561825,,left
1960.8,memorandum of understanding,5.0,0.08340264,,center
1960.8,worldwide communications,5.0,0.93541527,,center
1960.8,Administrator Webb,7.0270057,1.0,,center
1960.8,operational communications,5.0,0.5353596,,center
1960.9,national communications,5.0,0.94095284,,center
1961.1,upper stages,9.749385,0.4902859,,left
1961.2,common carriers,7.9712386,0.72338367,,right
1961.2,2 years,5.0,0.5293185,,left
1961.3,peaceful purposes,7.398604,0.4770881,,left
1961.3,Point Arguello,5.0,0.3211673,,left
1961.3,40 miles,5.0,0.56405187,,left
1961.3,preliminary tests,5.1299586,0.67096835,,left
1961.5,other areas,10.714905,0.5815569,,left
1961.6,Attorney General Robert F Kennedy,8.916382,1.0,,center
1961.8,simultaneous observations,5.0,0.7010433,,center
1961.9,1000 times,9.466356,0.96416014,,center
1961.9,two experiments,6.6015735,0.72167176,,center
1961.9,commercial users,5.0,0.7051948,,center
1961.9,manned satellites,5.802215,0.5739739,,center
1961.9,12 hours,5.0,0.47108328,,center
1962.0,solar cells,13.388236,0.66511464,,right
1962.1,many problems,5.0,0.47021648,,left
1962.2,nuclear tests,5.0,0.46909094,,left
1962.2,previous satellites,6.4151807,0.71589416,,left
1962.2,tropical storms,10.779821,1.0,,left
1962.2,foreign relations,7.28805,1.0,,left
1962.2,similar data,5.0,0.93437904,,left
1962.4,communications satellite,14.911405,1.0,,center
1962.4,two stations,5.0,0.6985848,,left
1962.5,two minutes,6.9459376,0.475692,,left
1962.6,10 months,13.035209,0.58039486,,left
1962.6,elliptical orbits,8.307114,0.5719819,,left
1962.6,2 miles,12.451403,0.57523394,,left
