approx year, term, approx size, fill alpha percent, possible pos name, horiz align
1958.0,launching,10.5,0.4954052,,left
1958.0,according,10.5,0.4881017,,left
1958.0,funding,10.5,0.48628506,,left
1958.0,sending,10.5,0.44899154,,left
1958.5,using,10.5,0.49724033,,left
1958.5,planning,10.5,0.48356712,,left
1958.8,sounding,10.5,0.5,,left
1958.9,tracking,10.5,0.48992202,,left
1959.2,beginning,10.5,0.48175976,,left
1959.3,620}miles,10.5,0.46782163,,right
1959.3,containing,10.5,0.4745673,,left
1959.5,lifting,10.5,0.44725642,,left
1959.8,a}national}nuclear}rocket,10.5,1.0,,right
1959.8,150}miles,10.5,0.46347854,,right
1959.9,two}dogs,10.5,0.5050647,,right
1960.0,200}feet,10.5,0.82951474,,right
1960.2,Glenn}L|}Martin,10.5,1.0,,right
1960.3,successful}firing,10.5,0.52920645,,right
1960.3,8}miles,13.141147,0.55749786,,right
1960.4,40}minutes,10.5,0.41625634,,right
1960.7,Ira}H|}Abbott,16.231878,1.0,,center
1960.8,30}seconds,10.5,0.5665147,,center
1960.9,successful}launching,10.5,0.57172406,,right
1960.9,2}minutes,10.5,0.44542682,,center
1960.9,400}miles,10.5,0.47730753,,right
1960.9,5}days,12.554181,0.6254237,,right
1960.9,Point}Mugu,13.734834,0.85111314,,right
1961.0,heavy}payloads,10.5,0.48443118,,right
1961.1,atmospheric}winds,10.5,1.0,,right
1961.2,scientific}sounding}rocket,10.5,1.0,,left
1961.2,two}experiments,10.5,0.7251418,,right
1961.2,static}firing,13.1283455,0.981455,,right
1961.2,reaching,10.5,0.47010216,,left
1961.5,floating,10.5,0.41499242,,left
1961.5,calling,10.5,0.34766313,,left
1961.6,Cape}Canaveral,16.785067,0.48817253,,center
1961.6,scientific}sounding}rockets,11.088549,0.5837294,,right
1961.7,preliminary}analysis,10.5,0.5759104,,center
1961.7,800}miles,21.543936,0.5576451,,right
1961.7,the}international}geophysical}year,10.5,0.58041435,,right
1961.8,Johnston}Island,16.544764,1.0,,right
1961.8,technical}difficulties,10.5,0.58297503,,right
1961.8,many}problems,10.5,0.4674069,,center
1961.8,Soviet}rockets,10.5,0.4699948,,center
1961.9,measuring}instruments,10.5,0.7061035,,left
1962.3,general}dynamicsastronautics,10.5,0.7116742,,right
