approx year, term, approx size, fill alpha percent, possible pos name, horiz align
1958.0,flying,5.0,0.31722164,vbg,left
1958.0,retiring,5.0,0.34603387,vbg,left
1958.2,covering,5.0,0.34744996,vbg,left
1958.5,carrying,5.0,0.6960214,vbg,left
1959.6,acting,5.0,0.031092107,vbg,left
1959.8,including,5.0,0.7595953,vbg,left
1960.0,supporting,5.0,0.6803548,vbg,left
1960.1,relying,5.0,0.61980563,vbg,left
1960.1,heating,5.0,0.45457584,vbg,left
1960.3,practicing,5.0,0.06978679,vbg,left
1960.3,mastering,5.0,0.73307157,vbg,left
1960.3,following,5.0,0.4766786,vbg,left
1960.5,pooling,5.0,0.46632087,vbg,left
1960.6,bettering,5.0,0.89161325,vbg,left
1960.6,beginning,5.0,0.58298606,vbg,left
1960.6,stripping,5.0,0.9393394,vbg,left
1960.7,plugging,5.0,0.62917346,vbg,left
1960.8,lifting,5.0,0.23055327,vbg,left
1960.8,going,5.0,0.33462667,vbg,left
1960.9,stepping,5.0,0.26832366,vbg,left
1961.0,ordering,5.0,0.28537142,vbg,left
1961.0,bearing,5.0,0.066202044,vbg,left
1961.0,preparing,5.066051,0.33430183,vbg,left
1961.1,staying,5.0,0.9667823,vbg,left
1961.1,cooperating,5.0,0.38246638,vbg,left
1961.2,displaying,5.0,0.8054804,vbg,left
1961.2,landing,5.543282,0.31745696,vbg,left
1961.3,squirming,5.0,0.17619693,vbg,left
1961.4,contributing,5.0,0.14082849,vbg,left
1961.4,creeping,5.0,0.7181606,vbg,left
1961.4,orbiting,6.1162186,0.71103424,vbg,left
1961.5,splashing,5.0,0.032703996,vbg,left
1961.6,saying,7.099343,0.33476704,vbg,left
1961.6,occurring,5.815842,0.24266297,vbg,left
1961.6,viewing,5.452557,0.03564316,vbg,left
1961.7,spiraling,5.0,0.62028694,vbg,left
1961.8,encouraging,6.4509363,0.18994349,vbg,left
1961.8,seeing,8.605824,0.7681608,vbg,left
1961.8,locating,7.229673,0.6190163,vbg,left
1961.9,speeding,5.021503,0.6309615,vbg,left
1962.0,meeting,11.333566,0.62685,vbg,left
1962.1,exploring,9.753403,0.9357653,vbg,left
1962.1,exposing,9.374232,0.011787951,vbg,left
1962.1,slackening,6.340291,0.16233069,vbg,left
1962.4,according,15.355479,0.6886857,vbg,left
1962.5,sharing,7.576298,0.48323292,vbg,left
1962.5,praising,12.089674,0.2069853,vbg,left
1962.5,exchanging,12.507756,0.076856434,vbg,left
1962.8,meaning,8.043723,0.93767226,vbg,left
1963.0,linking,12.976949,0.8129801,vbg,left
1963.1,testing,16.750269,0.30151123,vbg,left
1963.1,licking,8.015293,0.6815792,vbg,left
1963.2,committing,13.121422,0.78877336,vbg,left
1963.4,destroying,13.150442,0.90728086,vbg,left
1963.4,feeding,7.982601,0.7939174,vbg,left
1963.7,being,16.835535,0.119470835,vbg,left
1963.7,qualifying,8.005762,0.86494696,vbg,left
1963.8,hoping,13.1913395,0.6100237,vbg,left
1964.0,telling,13.304545,0.38448948,vbg,left
1964.1,using,17.029408,0.7395494,vbg,left
1964.1,puncturing,8.195006,0.65222365,vbg,left
1964.2,deepening,13.286702,0.8076133,vbg,left
1964.3,classifying,13.0575,0.594081,vbg,left
1964.5,launching,18.13885,0.7660216,vbg,left
1964.6,rattling,9.092069,0.38596922,vbg,left
1964.9,guiding,16.733408,0.40315372,vbg,left
1964.9,overtaking,10.048548,0.9325296,vbg,left
1965.0,noting,14.536366,0.7044637,vbg,left
1965.3,evening,12.896494,0.58942133,vbg,left
1965.3,fomenting,6.6079516,0.7144379,vbg,left
1965.4,expecting,10.207189,0.07103354,vbg,left
1965.4,totaling,9.19844,0.4791953,vbg,left
1965.6,deciding,5.4763308,0.007638514,vbg,left
