approx year, term, approx size, fill alpha percent, possible pos name, horiz align
1958.0,continuing,9.17013,0.4709327,vbg,left
1958.0,monitoring,9.170184,0.48696363,vbg,left
1958.0,making,9.152145,0.4789114,vbg,left
1958.3,3}years,8.0,0.52961975,cd nns,right
1958.4,the}national}meteorological}satellite,8.0,1.0,dt jj jj nn,center
1958.5,Prime}Minister}Harold}Macmillan,8.0,1.0,Person.txt,center
1958.6,North}Central}Pacific}Ocean,8.0,0.5671947,GeographicFeature.txt,right
1958.8,17000}miles,8.0,0.8581255,cd nns,center
1958.8,solar}events,8.0,0.6354679,jj nns,center
1959.2,navigational}aids,8.0,1.0,jj nns,left
1959.4,undergoing,8.0,0.35938406,vbg,left
1959.7,Dwight}D|}Eisenhower,8.0,1.0,Person.txt,center
1959.8,leading,8.0,0.4622409,vbg,left
1959.8,demonstrating,8.0,0.39302707,vbg,left
1960.0,active}communications,8.0,1.0,jj nns,right
1960.1,recording,8.0,0.4890535,vbg,left
1960.1,containing,8.0,0.45988587,vbg,left
1960.3,Harold}B|}Finger,8.0,1.0,Person.txt,right
1960.3,Douglas}Thor,8.144336,1.0,Person.txt,right
1960.4,Point}Arguello,8.0,0.58506143,GeographicFeature.txt,left
1960.7,worldwide}communications,8.0,0.93541527,jj nns,center
1960.7,experimental}communications,9.515692,0.49410567,jj nns,right
1960.8,national}communications,8.0,0.94095284,jj nns,center
1960.8,Administrator}Webb,8.0,1.0,Person.txt,center
1960.8,common}carriers,8.0,0.72338367,jj nns,center
1960.8,northern}latitudes,8.0,0.5561825,jj nns,center
1960.8,handling,8.0,0.43898785,vbg,left
1960.9,6}years,8.0,0.61733276,cd nns,left
1961.1,expanding,8.0,0.38091823,vbg,left
1961.2,programing,8.0,0.33018982,vbg,left
1961.3,accompanying,8.0,0.29717627,vbg,left
1961.3,coordinating,8.0,0.34186757,vbg,left
1961.4,broadcasting,8.682079,0.47331858,vbg,left
1961.4,participating,8.0,0.4544164,vbg,left
1961.4,sounding,8.0,0.49183023,vbg,left
1961.4,constructing,8.0,0.330683,vbg,left
1961.6,Attorney}General}Robert}F|}Kennedy,11.423207,1.0,Person.txt,right
1961.8,manned}satellites,8.0,0.5739739,jj nns,center
1961.8,orbiting}satellites,9.84997,0.7391571,vbg nns,center
1961.8,Paula}Shaki}Trimble,8.0,1.0,Person.txt,center
1961.8,commercial}users,8.0,0.7051948,jj nns,center
1961.8,previous}satellites,8.0,0.71589416,jj nns,center
1961.8,foreign}relations,8.0,1.0,jj nns,center
1961.9,tropical}storms,8.0,1.0,jj nns,center
1961.9,Newton}N|}Minow,11.38018,1.0,Person.txt,right
1961.9,12}hours,8.0,0.47108328,cd nns,center
1962.2,flashing,8.0,0.39995462,vbg,left
1962.3,computing,8.0,0.29963306,vbg,left
1962.3,establishing,8.0,0.43138388,vbg,left
1962.3,supporting,8.0,0.44128343,vbg,left
1962.3,conducting,8.0,0.44281748,vbg,left
1962.3,sending,8.0,0.4575374,vbg,left
1962.3,testifying,8.0,0.22632445,vbg,left
1962.4,understanding,11.991927,0.4813194,vbg,left
1962.4,cooperating,8.0,0.3887291,vbg,left
1962.5,communications}satellite,13.700039,1.0,FieldTerminology.txt,right
1962.6,weighing,8.0,0.45831951,vbg,left
1962.8,ring,8.0,0.4149135,vbg,left
1962.8,international}programs,8.0,0.49002007,jj nns,right
1962.8,energetic}particles,9.272246,0.4949963,jj nns,right
1962.8,20}days,8.0,0.6917518,cd nns,right
1962.9,passive}communications,8.0,0.5917524,jj nns,right
1962.9,2}miles,10.987006,0.57523394,cd nns,right
1963.0,radio}equipment,8.0,0.3478996,FieldTerminology.txt,right
1963.0,nuclear}explosions,8.0,0.7284003,jj nns,right
1963.0,undersea}cables,8.0,1.0,jj nns,right
1963.1,two}satellites,26.679344,0.5,cd nns,center
1963.2,West}Antarctic,8.819607,1.0,GeographicFeature.txt,right
1963.2,President}Johnson,24.306503,1.0,Person.txt,center
1963.3,Komsomolskaya}Pravda,15.419948,1.0,Person.txt,center
1963.5,commercial}communications,9.235142,0.49955213,jj nns,center
1963.6,meteorological}satellites,8.010251,0.4994626,jj nns,center
1963.7,global}communications,8.0,0.4991045,jj nns,center
1963.7,scientific}satellites,8.213764,0.49919394,jj nns,center
1963.7,Pacific}Ocean,15.239505,0.69909227,GeographicFeature.txt,center
1963.7,scientific}equipment,8.0,0.88292843,FieldTerminology.txt,center
1963.8,Krasnaya}Zvezda,9.242995,1.0,Person.txt,center
1964.3,communications}services,8.0,1.0,FieldTerminology.txt,left
1964.4,artificial}satellites,8.0,0.5886623,jj nns,left
1964.4,small}satellites,8.0,0.4955311,jj nns,left
1964.4,international}communications,8.0,0.7420935,jj nns,left
1964.4,drifting,8.0,0.51313126,vbg,left
1964.4,orbital}parameters,19.310259,0.49991038,jj nns,center
1964.4,unmanned}satellites,8.0,0.49562028,jj nns,left
1964.4,orbital}data,10.988767,0.5983884,jj nns,left
1964.6,earth}station,12.394309,1.0,FieldTerminology.txt,left
1964.8,24}satellites,27.94796,0.7335688,cd nns,left
1964.8,totaling,8.0,0.34720436,vbg,left
1964.8,polar}orbits,8.0,0.49126157,jj nns,center
1964.9,11}hrs,23.897293,0.72140855,cd nns,left
1964.9,four}satellites,8.0,0.4928603,cd nns,left
1964.9,507}hrs,8.0,0.6460679,cd nns,left
1965.1,functioning,13.816468,0.48212346,vbg,left
1965.2,exceeding,8.0,0.4206764,vbg,left
1965.3,performing,8.0,0.42911696,vbg,left
1965.3,scheduling,8.0,0.3614371,vbg,left
1965.3,discussing,8.0,0.36487368,vbg,left
1965.3,tracking}stations,11.354186,0.498031,vbg nns,left
1965.4,giving,8.0,0.42460302,vbg,left
1965.5,living,8.0,0.42836282,vbg,left
1965.6,12}hrs,8.484859,0.5573177,cd nns,right
1965.7,satellite}service,14.722846,1.0,FieldTerminology.txt,center
1965.7,navigational}satellites,8.0,0.72483385,jj nns,center
